row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,403.573.305,633.368.773,403573305.0,633368773.0
Vay ngắn hạn ngân hàng(Thuyết minh số 17.2),Vay ngắn hạn ngân hàng(Thuyết minh số 17.2),Vay ngắn hạn ngân hàng(Thuyết minh số 17.2),299.597.754,-,299597754.0,
Vay dài hạn trái phiếu đến hạn trả(Thuyết minh số 17.3),Vay dài hạn trái phiếu đến hạn trả(Thuyết minh số 17.3),Vay dài hạn trái phiếu đến hạn trả(Thuyết minh số 17.3),86.717.200,297.091.268,86717200.0,297091268.0
Vay ngắn hạn bên liên quan(Thuyết minh số 17.1),Vay ngắn hạn bên liên quan(Thuyết minh số 17.1),Vay ngắn hạn bên liên quan(Thuyết minh số 17.1),12.091.300,-,12091300.0,
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 17.4),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 17.4),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 17.4),5.167.051,5.179.552,5167051.0,5179552.0
Vay dài hạn bên liên quan đến hạn trả(Thuyết minh số 17.5),Vay dài hạn bên liên quan đến hạn trả(Thuyết minh số 17.5),Vay dài hạn bên liên quan đến hạn trả(Thuyết minh số 17.5),-,331.097.953,,331097953.0
Dài hạn,Dài hạn,Dài hạn,5.095.823.404,8.114.175.884,5095823404.0,8114175884.0
Vay dài hạn bên liên quan(Thuyết minh số 17.5),Vay dài hạn bên liên quan(Thuyết minh số 17.5),Vay dài hạn bên liên quan(Thuyết minh số 17.5),2.083.992.733,5.308.638.933,2083992733.0,5308638933.0
Vay dài hạn trái phiếu(Thuyết minh số 17.3),Vay dài hạn trái phiếu(Thuyết minh số 17.3),Vay dài hạn trái phiếu(Thuyết minh số 17.3),2.030.418.476,1.817.205.919,2030418476.0,1817205919.0
Vay dài hạn ngân hàng(Thuyết minh số 17.4),Vay dài hạn ngân hàng(Thuyết minh số 17.4),Vay dài hạn ngân hàng(Thuyết minh số 17.4),981.412.195,988.331.032,981412195.0,988331032.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.499.396.709,8.747.544.657,5499396709.0,8747544657.0
