row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
(Lỗ) lợi nhuận kế toán trước thuế,(Lỗ) lợi nhuận kế toán trước thuế,(Lỗ) lợi nhuận kế toán trước thuế,(9.161.050),106.002.834,-9161050.0,106002834.0
Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,,
Chi phí không được khấu trừ,Các điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,5.367.194,7.223.061,5367194.0,7223061.0
Thu nhập cổ tức,Các điều chỉnh: > Thu nhập cổ tức,Thu nhập cổ tức,-,(304.875.000),,-304875000.0
Điều chỉnh khác,Các điều chỉnh: > Điều chỉnh khác,Điều chỉnh khác,10.199.419,-,10199419.0,
Lợi nhuận (lỗ) tính thuế thuần điều chỉnh trước khi chuyển lỗ,Các điều chỉnh: > Lợi nhuận (lỗ) tính thuế thuần điều chỉnh trước khi chuyển lỗ,Lợi nhuận (lỗ) tính thuế thuần điều chỉnh trước khi chuyển lỗ,6.405.563,(191.649.105),6405563.0,-191649105.0
Lỗ năm trước chuyển sang,Các điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(6.405.563),-,-6405563.0,
Thu nhập tính thuế uốc tính trong năm hiện hành,Các điều chỉnh: > Thu nhập tính thuế uốc tính trong năm hiện hành,Thu nhập tính thuế uốc tính trong năm hiện hành,-,(191.649.105),,-191649105.0
Chi phí thuế TNDN hiện hành uốc tính,Chi phí thuế TNDN hiện hành uốc tính,Chi phí thuế TNDN hiện hành uốc tính,-,-,,
Thuế TNDN trả trước đầu năm,Chi phí thuế TNDN hiện hành uốc tính > Thuế TNDN trả trước đầu năm,Thuế TNDN trả trước đầu năm,(285.831),(285.831),-285831.0,-285831.0
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,-,-,,
Thuế TNDN trả trước cuối năm,Thuế TNDN đã trả trong năm > Thuế TNDN trả trước cuối năm,Thuế TNDN trả trước cuối năm,(285.831),(285.831),-285831.0,-285831.0
