row_label_raw,row_label_full,Trả trước cho các bên liên quan(Thuyết minh số 25),Số cuối năm > 225.454.321,Ngàn VND Số đầu năm > 3.805.424,numeric__Số cuối năm > 225.454.321,numeric__Ngàn VND Số đầu năm > 3.805.424
Trả trước cho các bên thứ ba,Trả trước cho các bên thứ ba,Trả trước cho các bên thứ ba,11.559.824,3.599.840,11559824.0,3599840.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,237.014.145,7.405.264,237014145.0,7405264.0
