row_label_raw,row_label_full,col_0,col_1,col_2,4.491.728.289,3.853.343.420,numeric__col_1,numeric__col_2,numeric__4.491.728.289,numeric__3.853.343.420
Phải thu dài hạn khác (Thuyết minh số 7),Phải thu dài hạn khác (Thuyết minh số 7),Phải thu dài hạn khác (Thuyết minh số 7),Phải thu dài hạn khác (Thuyết minh số 7),Phải thu dài hạn khác (Thuyết minh số 7),Phải thu dài hạn khác (Thuyết minh số 7),Phải thu dài hạn khác (Thuyết minh số 7),,,,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu dài hạn khác (Thuyết minh số 7) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Lãi cho vay,422.043.980,-,,,422043980.0,
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải thu dài hạn khác (Thuyết minh số 7) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Lãi cho vay,254.355.304,-,,,254355304.0,
Công ty TNHH Hoàng Anh Rattanakiri,Phải thu dài hạn khác (Thuyết minh số 7) > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Lãi cho vay,251.639.528,-,,,251639528.0,
Công ty TNHH Hoàng Anh Oyadav,Phải thu dài hạn khác (Thuyết minh số 7) > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Lãi cho vay,185.394.853,-,,,185394853.0,
Công ty Cổ phần Đầu tư Bất Đông sản An Phú,Phải thu dài hạn khác (Thuyết minh số 7) > Công ty Cổ phần Đầu tư Bất Đông sản An Phú,Công ty Cổ phần Đầu tư Bất Đông sản An Phú,Bên liên quan,Lãi cho vay,63.570.833,20.987.500,,,63570833.0,20987500.0
Công Ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu dài hạn khác (Thuyết minh số 7) > Công Ty Cổ phần Hoàng Anh Đắk Lắk,Công Ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Lãi cho vay,63.053.979,-,,,63053979.0,
Công ty Cổ phần Cao su Trung Nguyên,Phải thu dài hạn khác (Thuyết minh số 7) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Lãi cho vay,9.365.327,-,,,9365327.0,
Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,Phải thu dài hạn khác (Thuyết minh số 7) > Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,Công ty con,Lãi cho vay,770.881,136.957,,,770881.0,136957.0
,,,,,1.250.194.685,21.124.457,,,1250194685.0,21124457.0
