row_label_raw,row_label_full,Phải trả cho các bên liên quan (Thuyết minh số 25),Số cuối năm > 147.945.974,Ngàn VND Số đầu năm > 56.350.535,numeric__Số cuối năm > 147.945.974,numeric__Ngàn VND Số đầu năm > 56.350.535
Phải trả cho các bên thứ ba,Phải trả cho các bên thứ ba,Phải trả cho các bên thứ ba,20.446.753,16.107.549,20446753.0,16107549.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,168.392.727,72.458.084,168392727.0,72458084.0
