row_label_raw,row_label_full,Chi phí phát hành,(7.864.324),numeric__(7.864.324)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.117.135.676,2117135676.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Vay dài hạn trái phiếu,Trong đó: > Vay dài hạn trái phiếu,Vay dài hạn trái phiếu,2.030.418.476,2030418476.0
Vay dài hạn trái phiếu đến hạn trả,Trong đó: > Vay dài hạn trái phiếu đến hạn trả,Vay dài hạn trái phiếu đến hạn trả,86.717.200,86717200.0
