row_label_raw,row_label_full,STT,"Tên công ty, chi nhánh công ty từ ngày 1 tháng 10 năm 2025","Tên công ty, chi nhánh công ty đến ngày 30 tháng 9 năm 2025","numeric__Tên công ty, chi nhánh công ty từ ngày 1 tháng 10 năm 2025","numeric__Tên công ty, chi nhánh công ty đến ngày 30 tháng 9 năm 2025"
18,18,18,Công ty TNHH Một thành viên Petrolimex Hưng YênChi nhánh Petrolimex Thái Bình,Công ty TNHH Một thành viên Petrolimex Hưng YênCông ty TNHH Một thành viên Xăng dầu Thái Bình,,
19,19,19,Công ty TNHH Một thành viên Petrolimex Quảng TrịChi nhánh Petrolimex Đông Hà,Công ty Xăng dầu Quảng BìnhCông ty Xăng dầu Quảng Trị,,
20,20,20,Công ty TNHH Một thành viên Petrolimex Huế,Công ty Xăng dầu Thừa Thiên Huế,,
21,21,21,Công ty TNHH Một thành viên Petrolimex Đà NẵngChi nhánh Petrolimex Quảng Nam,Công ty Xăng dầu Khu vực V - TNHH Một thành viênCông ty TNHH Một thành viên Xăng dầu Quảng Nam,,
22,22,22,Công ty TNHH Một thành viên Petrolimex Quảng NgãiChi nhánh Petrolimex Kon Tum,Công ty TNHH Một thành viên Xăng dầu Quảng NgãiChi nhánh Xăng dầu Kon Tum của Công ty TNHH Xăng dầu Nam Tây Nguyên,,
23,23,23,Công ty TNHH Một thành viên Petrolimex Gia LaiChi nhánh Petrolimex Pleiku,Công ty Xăng dầu Bình ĐịnhCông ty TNHH Một thành viên Xăng dầu Bắc Tây Nguyên,,
24,24,24,Công ty TNHH Một thành viên Petrolimex Đắk LắkChi nhánh Petrolimex Phú Yên,Công ty TNHH Xăng dầu Nam Tây NguyênChi nhánh Xăng dầu Phú Yên của Công ty Xăng dầu Phú Khánh,,
25,25,25,Công ty TNHH Một thành viên Petrolimex Khánh Hòa,Công ty Xăng dầu Phú Khánh,,
26,26,26,Công ty TNHH Một thành viên Petrolimex Lâm ĐồngChi nhánh Petrolimex Bình Thuận,Công ty TNHH Xăng dầu Lâm ĐồngCông ty TNHH Một thành viên Xăng dầu Bình Thuận,,
27,27,27,Công ty TNHH Một thành viên Petrolimex Đồng NaiChi nhánh Petrolimex Bình Phước,Công ty Xăng dầu Đồng NaiChi nhánh Xăng dầu Bình Phước của Công ty Xăng dầu Sông Bé - TNHH Một thành viên,,
28,28,28,Công ty TNHH Một thành viên Petrolimex Sài GònChi nhánh Petrolimex Bình DươngChi nhánh Petrolimex Vũng Tàu,Công ty TNHH Một thành viên Petrolimex Sài GònCông ty Xăng dầu Sông Bé - TNHH Một thành viênCông ty TNHH Một thành viên Xăng dầu Bà Rịa - Vũng Tàu,,
29,29,29,Công ty TNHH Một thành viên Petrolimex Tây NinhChi nhánh Petrolimex Bắc Tây Ninh,Công ty Xăng dầu Long AnCông ty Xăng dầu Tây Ninh,,
30,30,30,Công ty TNHH Một thành viên Petrolimex Đồng ThápChi nhánh Petrolimex Cao Lãnh,Công ty Xăng dầu Tiến GiangCông ty Xăng dầu Đồng Tháp TNHH Một thành viên,,
31,31,31,Công ty TNHH Một thành viên Petrolimex An Giang,Công ty TNHH Một thành viên Xăng dầu An Giang,,
32,32,32,Công ty TNHH Một thành viên Petrolimex Vĩnh LongChi nhánh Petrolimex Bến TreChi nhánh Petrolimex Trà Vinh,Công ty Xăng dầu Vĩnh LongCông ty TNHH Một thành viên Xăng dầu Bến TreCông ty Xăng dầu Trà Vinh,,
33,33,33,Công ty TNHH Một thành viên Petrolimex Cần Thơ,Công ty TNHH Một thành viên Petrolimex Cần Thơ,,
34,34,34,Công ty TNHH Một thành viên Petrolimex Cà MauChi nhánh Petrolimex Bạc Liêu,Công ty Xăng dầu Cà MauChi nhánh Xăng dầu Bạc Liêu của Công ty TNHH Một thành viên Petrolimex Cần Thơ,,
