row_label_raw,row_label_full,Ông Đặng Quang Tuân,Trường ban,numeric__Trường ban
Bà Đình Thị Kiều Trang,Bà Đình Thị Kiều Trang,Bà Đình Thị Kiều Trang,Kiểm soát viên,
Bà Hoàng Mai Ninh,Bà Hoàng Mai Ninh,Bà Hoàng Mai Ninh,Kiểm soát viên,
Ông Okuma Atsushi,Ông Okuma Atsushi,Ông Okuma Atsushi,Kiểm soát viên,
Ông Mai Việt Dũng,Ông Mai Việt Dũng,Ông Mai Việt Dũng,Kiểm soát viên,
