row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,16.954.409.039.684,5.713.911.170.950,13.851.456.574.575,1.032.861.522.108,63.772.411.005,37.616.410.718.322,16954409039684.0,5713911170950.0,13851456574575.0,1032861522108.0,63772411005.0,37616410718322.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,78.271.643.850,220.275.941.777,249.168.816.884,58.051.114.006,3.250.408.968,609.017.925.485,78271643850.0,220275941777.0,249168816884.0,58051114006.0,3250408968.0,609017925485.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,1.387.511.830.529,578.484.456.373,114.045.528.498,59.138.209.694,14.453.307.295,2.153.633.332.389,1387511830529.0,578484456373.0,114045528498.0,59138209694.0,14453307295.0,2153633332389.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(580.368.182),-,-,-,-,(580.368.182),-580368182.0,,,,,-580368182.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(3.846.873.080),2.054.416.839,15.943.419,1.776.512.822,-,-,-3846873080.0,2054416839.0,15943419.0,1776512822.0,,
Thanh lý và xóa sổ,Nguyên giá > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(164.513.739.623),(89.912.870.288),(47.201.564.673),(18.425.899.164),(1.015.737.233),(321.069.810.981),-164513739623.0,-89912870288.0,-47201564673.0,-18425899164.0,-1015737233.0,-321069810981.0
Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Nguyên giá > Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,1.965.478.494,857.346.383,163.789.512,136.921.652,7.082.181,3.130.618.222,1965478494.0,857346383.0,163789512.0,136921652.0,7082181.0,3130618222.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.253.217.011.672,6.425.670.462.034,14.167.649.088.215,1.133.538.381.118,80.467.472.216,40.060.542.415.255,18253217011672.0,6425670462034.0,14167649088215.0,1133538381118.0,80467472216.0,40060542415255.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
