row_label_raw,row_label_full,col_0,Khối xăng dầu thành viên (i),Các công ty con không thuộc khối xăng dầu thành viên (ii),Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Khối xăng dầu thành viên (i),numeric__Các công ty con không thuộc khối xăng dầu thành viên (ii),numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.752.425.695.545,2.629.596.271.686,494.625.957.151,70.476.844.282,1.289.180.770.771,205.976.658.627,1.233.516.349.743,10.675.798.547.805,4752425695545.0,2629596271686.0,494625957151.0,70476844282.0,1289180770771.0,205976658627.0,1233516349743.0,10675798547805.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,14.077.452.594.000,-,625.000.000.000,1.680.055.674.395,1.235.539.072.993,239.341.453.697,-,17.857.388.795.085,14077452594000.0,,625000000000.0,1680055674395.0,1235539072993.0,239341453697.0,,17857388795085.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,3.338.085.642.239,15.294.808.932.609,957.579.739.639,502.443.389.478,389.082.708.379,291.466.169.228,(4.803.565.735.958),15.969.900.845.614,3338085642239.0,15294808932609.0,957579739639.0,502443389478.0,389082708379.0,291466169228.0,-4803565735958.0,15969900845614.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,10.931.914.266.032,1.125.278.475.383,1.010.198.664.785,179.915.939.245,604.272.871.762,212.219.630.770,(201.946.991.781),13.861.852.856.196,10931914266032.0,1125278475383.0,1010198664785.0,179915939245.0,604272871762.0,212219630770.0,-201946991781.0,13861852856196.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,743.090.547.874,49.390.063.784,53.021.867.802,35.071.627.220,228.663.440.916,86.993.218.891,-,1.196.230.766.487,743090547874.0,49390063784.0,53021867802.0,35071627220.0,228663440916.0,86993218891.0,,1196230766487.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,271.915.133.933,3.040.654.740,6.480.087.514,122.223.431,2.755.221.659,4.524.698.602,(248.341.545.653),40.496.474.226,271915133933.0,3040654740.0,6480087514.0,122223431.0,2755221659.0,4524698602.0,-248341545653.0,40496474226.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,10.016.698.144.185,534.160.740.379,605.580.611.503,303.673.350.516,2.169.045.536.829,1.103.476.175.809,(246.698.774.386),14.485.935.784.835,10016698144185.0,534160740379.0,605580611503.0,303673350516.0,2169045536829.0,1103476175809.0,-246698774386.0,14485935784835.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,50.199.276.613,-,-,-,37.851.228.821,27.779.149.914,(12.420.268.813),103.409.386.535,50199276613.0,,,,37851228821.0,27779149914.0,-12420268813.0,103409386535.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,1.091.071.014.461,32.760.136.768,23.238.236.547,22.682.336.141,32.079.181.793,39.783.678.931,-,1.241.614.584.641,1091071014461.0,32760136768.0,23238236547.0,22682336141.0,32079181793.0,39783678931.0,,1241614584641.0
Dầu tư tài chính dài hạn,Tài sản > Dầu tư tài chính dài hạn,Dầu tư tài chính dài hạn,10.524.195.496.467,10.000.000.000,-,-,17.845.328.816,173.994.087.509,(3.993.230.858.018),6.732.804.054.774,10524195496467.0,10000000000.0,,,17845328816.0,173994087509.0,-3993230858018.0,6732804054774.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,2.641.300.935.496,246.726.994.444,179.932.140.022,357.232.424.746,120.784.930.026,55.177.312.805,88.810.578.075,3.689.965.315.614,2641300935496.0,246726994444.0,179932140022.0,357232424746.0,120784930026.0,55177312805.0,88810578075.0,3689965315614.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,58.438.348.746.845,19.925.762.269.793,3.955.657.304.963,3.151.673.809.454,6.127.100.292.765,2.440.732.234.783,(8.183.877.246.791),85.855.397.411.812,58438348746845.0,19925762269793.0,3955657304963.0,3151673809454.0,6127100292765.0,2440732234783.0,-8183877246791.0,85855397411812.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,34.476.213.964.899,18.137.629.412.207,2.660.854.552.402,2.130.434.588.297,1.299.329.599.506,612.152.853.146,(3.962.286.851.551),55.354.328.118.906,34476213964899.0,18137629412207.0,2660854552402.0,2130434588297.0,1299329599506.0,612152853146.0,-3962286851551.0,55354328118906.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,221.750.706.918,8.375.020.000,34.475.390.460,135.905.893.534,740.823.941.868,13.897.480.399,(215.901.968.894),939.326.464.285,221750706918.0,8375020000.0,34475390460.0,135905893534.0,740823941868.0,13897480399.0,-215901968894.0,939326464285.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,34.697.964.671.817,18.146.004.432.207,2.695.329.942.862,2.266.340.481.831,2.040.153.541.374,626.050.333.545,(4.178.188.820.445),56.293.654.583.191,34697964671817.0,18146004432207.0,2695329942862.0,2266340481831.0,2040153541374.0,626050333545.0,-4178188820445.0,56293654583191.0
