row_label_raw,row_label_full,STT,Tên đơn vị,Tổng tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 31/12/2025,Tổng tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 1/1/2025,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2025,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2025,Giá trị đầu tư của công ty mẹ trực tiếp theo giá gốc khoản đầu tư VND > 31/12/2025,Giá trị đầu tư của công ty mẹ trực tiếp theo giá gốc khoản đầu tư VND > 1/1/2025,numeric__Tên đơn vị,numeric__Tổng tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 31/12/2025,numeric__Tổng tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 1/1/2025,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2025,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2025,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo giá gốc khoản đầu tư VND > 31/12/2025,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo giá gốc khoản đầu tư VND > 1/1/2025
Công ty con của Tổng Công ty Vận tải thủy Petrolimex,Công ty con của Tổng Công ty Vận tải thủy Petrolimex,Công ty con của Tổng Công ty Vận tải thủy Petrolimex,Công ty con của Tổng Công ty Vận tải thủy Petrolimex,Công ty con của Tổng Công ty Vận tải thủy Petrolimex,Công ty con của Tổng Công ty Vận tải thủy Petrolimex,Công ty con của Tổng Công ty Vận tải thủy Petrolimex,Công ty con của Tổng Công ty Vận tải thủy Petrolimex,Công ty con của Tổng Công ty Vận tải thủy Petrolimex,Công ty con của Tổng Công ty Vận tải thủy Petrolimex,,,,,,,
1,Công ty con của Tổng Công ty Vận tải thủy Petrolimex > 1,1,Công ty Cổ phần Vận tải Xăng dầu VITACO,"51,92%","51,92%","51,92%","51,92%",414.652.170.000,414.652.170.000,,0.5192,0.5192,0.5192,0.5192,414652170000.0,414652170000.0
2,Công ty con của Tổng Công ty Vận tải thủy Petrolimex > 2,2,Công ty Cổ phần Vận tải Xăng dầu VIPCO,"51,00%","51,00%","51,00%","51,00%",305.033.040.000,305.033.040.000,,0.51,0.51,0.51,0.51,305033040000.0,305033040000.0
3,Công ty con của Tổng Công ty Vận tải thủy Petrolimex > 3,3,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,"51,00%","51,00%","51,00%","51,00%",29.830.142.460,29.830.142.460,,0.51,0.51,0.51,0.51,29830142460.0,29830142460.0
4,Công ty con của Tổng Công ty Vận tải thủy Petrolimex > 4,4,Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,"51,22%","51,22%","51,22%","51,22%",115.591.076.555,115.591.076.555,,0.5122,0.5122,0.5122,0.5122,115591076555.0,115591076555.0
5,Công ty con của Tổng Công ty Vận tải thủy Petrolimex > 5,5,Công ty Cổ phần Cảng Cửa Cẩm Hải Phòng,"63,92%","63,92%","63,92%","63,92%",27.498.040.000,27.498.040.000,,0.6392,0.6392,0.6392,0.6392,27498040000.0,27498040000.0
Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP,,,,,,,
6,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP > 6,6,Công ty TNHH Hóa chất Petrolimex,"79,07%","79,07%","100,00%","100,00%",254.300.000.000,254.300.000.000,,0.7907,0.7907,1.0,1.0,254300000000.0,254300000000.0
7,Công ty con của Tổng Công ty Hóa dầu Petrolimex - CTCP > 7,7,Công ty TNHH Nhựa đường Petrolimex,"79,07%","79,07%","100,00%","100,00%",361.400.000.000,361.400.000.000,,0.7907,0.7907,1.0,1.0,361400000000.0,361400000000.0
Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex,,,,,,,
8,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex > 8,8,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà Tây (i),-,"51,00%",-,"51,00%",-,16.084.170.000,,,0.51,,0.51,,16084170000.0
9,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex > 9,9,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội (i),-,"51,06%",-,"51,06%",-,37.413.260.000,,,0.5106,,0.5106,,37413260000.0
10,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex > 10,10,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh (i),-,"51,00%",-,"51,00%",-,30.518.520.000,,,0.51,,0.51,,30518520000.0
11,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex > 11,11,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Thừa Thiên Huế (i),-,"51,00%",-,"51,00%",-,11.475.000.000,,,0.51,,0.51,,11475000000.0
12,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex > 12,12,Công ty Cổ phần Thương mại và Vận tải Petrolimex Đà Nẵng (i),-,"51,00%",-,"51,00%",-,10.455.000.000,,,0.51,,0.51,,10455000000.0
13,Công ty con của Tổng Công ty Dịch vụ Xăng dầu Petrolimex > 13,13,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn (i),-,"52,73%",-,"52,73%",-,37.967.550.000,,,0.5273,,0.5273,,37967550000.0
Công ty con của Tổng Công ty Gas Petrolimex – CTCP,Công ty con của Tổng Công ty Gas Petrolimex – CTCP,Công ty con của Tổng Công ty Gas Petrolimex – CTCP,Công ty con của Tổng Công ty Gas Petrolimex – CTCP,Công ty con của Tổng Công ty Gas Petrolimex – CTCP,Công ty con của Tổng Công ty Gas Petrolimex – CTCP,Công ty con của Tổng Công ty Gas Petrolimex – CTCP,Công ty con của Tổng Công ty Gas Petrolimex – CTCP,Công ty con của Tổng Công ty Gas Petrolimex – CTCP,Công ty con của Tổng Công ty Gas Petrolimex – CTCP,,,,,,,
14,Công ty con của Tổng Công ty Gas Petrolimex – CTCP > 14,14,Công ty TNHH Gas Petrolimex Sài Gòn,"52,37%","52,37%","100,00%","100,00%",70.000.000.000,70.000.000.000,,0.5236999999999999,0.5236999999999999,1.0,1.0,70000000000.0,70000000000.0
15,Công ty con của Tổng Công ty Gas Petrolimex – CTCP > 15,15,Công ty TNHH Gas Petrolimex Đà Nẵng,"52,37%","52,37%","100,00%","100,00%",40.000.000.000,40.000.000.000,,0.5236999999999999,0.5236999999999999,1.0,1.0,40000000000.0,40000000000.0
16,Công ty con của Tổng Công ty Gas Petrolimex – CTCP > 16,16,Công ty TNHH Gas Petrolimex Hải Phòng,"52,37%","52,37%","100,00%","100,00%",30.000.000.000,30.000.000.000,,0.5236999999999999,0.5236999999999999,1.0,1.0,30000000000.0,30000000000.0
17,Công ty con của Tổng Công ty Gas Petrolimex – CTCP > 17,17,Công ty TNHH Gas Petrolimex Hà Nội,"52,37%","52,37%","100,00%","100,00%",20.000.000.000,20.000.000.000,,0.5236999999999999,0.5236999999999999,1.0,1.0,20000000000.0,20000000000.0
18,Công ty con của Tổng Công ty Gas Petrolimex – CTCP > 18,18,Công ty TNHH Gas Petrolimex Cần Thơ,"52,37%","52,37%","100,00%","100,00%",27.000.000.000,27.000.000.000,,0.5236999999999999,0.5236999999999999,1.0,1.0,27000000000.0,27000000000.0
19,Công ty con của Tổng Công ty Gas Petrolimex – CTCP > 19,19,Công ty TNHH Cơ khí Gas PMG,"26,71%","26,71%","51,00%","51,00%",11.487.708.826,11.487.708.826,,0.2671,0.2671,0.51,0.51,11487708826.0,11487708826.0
