row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Bản quyềnphần mềmVND,Phần mềmmáy vi tínhVND,Tài sâncó định vô hình khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Bản quyềnphần mềmVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sâncó định vô hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.556.815.376.437,16.713.815.200,697.939.278.690,52.674.210.530,3.324.142.680.857,2556815376437.0,16713815200.0,697939278690.0,52674210530.0,3324142680857.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,38.163.240.412,2.594.930.000,15.143.940.746,1.015.884.102,56.917.995.260,38163240412.0,2594930000.0,15143940746.0,1015884102.0,56917995260.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,53.451.471.296,-,64.617.040.011,4.100.000,118.072.611.307,53451471296.0,,64617040011.0,4100000.0,118072611307.0
Chuyển sang bắt động sản đầu tư,Nguyên giá > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(330.091.300),-,-,-,(330.091.300),-330091300.0,,,,-330091300.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(4.179.886.281),-,(8.830.099.188),(325.446.700),(13.335.432.169),-4179886281.0,,-8830099188.0,-325446700.0,-13335432169.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.643.920.110.564,19.308.745.200,768.870.160.259,53.368.747.932,3.485.467.763.955,2643920110564.0,19308745200.0,768870160259.0,53368747932.0,3485467763955.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,316.574.986.179,14.742.570.638,578.225.131.061,27.804.558.088,937.347.245.966,316574986179.0,14742570638.0,578225131061.0,27804558088.0,937347245966.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,30.129.477.882,2.676.189.231,34.409.029.174,7.843.932.711,75.058.628.998,30129477882.0,2676189231.0,34409029174.0,7843932711.0,75058628998.0
Chuyển sang bắt động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(63.011.874),-,-,-,(63.011.874),-63011874.0,,,,-63011874.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(1.136.158.079),-,(8.569.792.220),(324.668.335),(10.030.618.634),-1136158079.0,,-8569792220.0,-324668335.0,-10030618634.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,345.505.294.108,17.418.759.869,604.064.368.015,35.323.822.464,1.002.312.244.456,345505294108.0,17418759869.0,604064368015.0,35323822464.0,1002312244456.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.240.240.390.258,1.971.244.562,119.714.147.629,24.869.652.442,2.386.795.434.891,2240240390258.0,1971244562.0,119714147629.0,24869652442.0,2386795434891.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.298.414.816.456,1.889.985.331,164.805.792.244,18.044.925.468,2.483.155.519.499,2298414816456.0,1889985331.0,164805792244.0,18044925468.0,2483155519499.0
