row_label_raw,row_label_full,STT,Tên đơn vị,Tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 31/12/2025,Tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 1/1/2025,Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 31/12/2025,Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 1/1/2025,numeric__Tên đơn vị,numeric__Tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 31/12/2025,numeric__Tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 1/1/2025,numeric__Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 31/12/2025,numeric__Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 1/1/2025
53,53,53,Công ty Xăng dầu Quảng Trị,-,"100,00%",-,62.202.000.000,,,1.0,,62202000000.0
54,54,54,Công ty TNHH Xăng dầu Tây Ninh,-,"100,00%",-,52.343.000.000,,,1.0,,52343000000.0
55,55,55,Công ty Xăng dầu Lào Cai,-,"100,00%",-,56.133.000.000,,,1.0,,56133000000.0
56,56,56,Công ty Xăng dầu Bến Tre,-,"100,00%",-,44.000.000.000,,,1.0,,44000000000.0
57,57,57,Công ty Xăng dầu Sông Bé – Công ty TNHH MTV,-,"100,00%",-,38.900.000.000,,,1.0,,38900000000.0
58,58,58,Công ty TNHH MTV Xăng dầu Trà Vinh,-,"100,00%",-,31.100.000.000,,,1.0,,31100000000.0
59,59,59,Công ty Xăng dầu Đồng Tháp,-,"100,00%",-,30.000.000.000,,,1.0,,30000000000.0
60,60,60,Công ty Xăng dầu Thái Bình,-,"100,00%",-,21.000.000.000,,,1.0,,21000000000.0
61,61,61,Công ty Xăng dầu Hà Giang,-,"100,00%",-,36.893.000.000,,,1.0,,36893000000.0
62,62,62,Công ty Xăng dầu Bắc Ninh,-,"100,00%",-,74.886.000.000,,,1.0,,74886000000.0
63,63,63,Công ty TNHH MTV Petrolimex Hải Dương,-,"100,00%",-,55.300.000.000,,,1.0,,55300000000.0
64,64,64,Công ty TNHH MTV Xăng dầu Quảng Nam,-,"100,00%",-,73.373.000.000,,,1.0,,73373000000.0
65,65,65,Công ty TNHH MTV Petrolimex Vĩnh Phúc,-,"100,00%",-,56.316.000.000,,,1.0,,56316000000.0
66,66,66,Công ty Xăng dầu Hà Nam,-,"100,00%",-,54.272.000.000,,,1.0,,54272000000.0
67,67,67,Công ty TNHH MTV Petrolimex Bình Thuận,-,"100,00%",-,94.619.000.000,,,1.0,,94619000000.0
