row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác VND,Cổ phiếu quỹ VND,Chênh lệch đánh giá lại tài sản VND,Chênh lệch tỷ giá hối đoai VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch đánh giá lại tài sản VND,numeric__Chênh lệch tỷ giá hối đoai VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,12.938.780.810.000,7.359.059.317.417,966.832.515.772,(232.858.460.000),(1.279.967.589.219),139.461.256.127,1.769.457.074.318,84.189.002.716,4.194.581.632.922,3.262.571.618.778,29.202.107.178.831,12938780810000.0,7359059317417.0,966832515772.0,-232858460000.0,-1279967589219.0,139461256127.0,1769457074318.0,84189002716.0,4194581632922.0,3262571618778.0,29202107178831.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,2.889.803.702.540,271.348.237.975,3.161.151.940.515,,,,,,,,,2889803702540.0,271348237975.0,3161151940515.0
Cộng ty con phát hành cổ phiếu,Cộng ty con phát hành cổ phiếu,Cộng ty con phát hành cổ phiếu,-,-,-,-,-,-,-,-,-,8.979.060.000,8.979.060.000,,,,,,,,,,8979060000.0,8979060000.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,-,-,-,-,-,-,(1.905.888.352.500),(192.522.078.227),(2.098.410.430.727),,,,,,,,,-1905888352500.0,-192522078227.0,-2098410430727.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,-,-,320.415.522.574,385.091,(320.415.907.665),-,-,,,,,,,320415522574.0,385091.0,-320415907665.0,,
"Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,-,-,-,-,-,-,(920.458.888.300),(65.057.130.747),(985.516.019.047),,,,,,,,,-920458888300.0,-65057130747.0,-985516019047.0
Chênh lệch tỷ giá hối đoai phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch tỷ giá hối đoai phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch tỷ giá hối đoai phát sinh do việc quy đổi các hoạt động ở nước ngoài,-,-,-,-,-,23.184.844.714,(6.815.748),(20.037.675),-,-,23.157.991.291,,,,,,23184844714.0,-6815748.0,-20037675.0,,,23157991291.0
Cộng ty liên kết trích quỹ từ lợi nhuận chưa phân phối,Cộng ty liên kết trích quỹ từ lợi nhuận chưa phân phối,Cộng ty liên kết trích quỹ từ lợi nhuận chưa phân phối,-,-,-,-,-,-,5.527.326.254,-,(5.527.326.254),-,-,,,,,,,5527326254.0,,-5527326254.0,,
Các biển động khác về vốn chủ sở hữu,Các biển động khác về vốn chủ sở hữu,Các biển động khác về vốn chủ sở hữu,-,-,-,-,-,-,-,(1.833.764),(3.285.501.078),(207.942.548),(3.495.277.390),,,,,,,,-1833764.0,-3285501078.0,-207942548.0,-3495277390.0
Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,12.938.780.810.000,7.359.059.317.417,966.832.515.772,(232.858.460.000),(1.279.967.589.219),162.646.100.841,2.095.393.107.398,84.167.516.368,3.928.809.359.665,3.285.111.765.231,29.307.974.443.473,12938780810000.0,7359059317417.0,966832515772.0,-232858460000.0,-1279967589219.0,162646100841.0,2095393107398.0,84167516368.0,3928809359665.0,3285111765231.0,29307974443473.0
