row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,Khối xăng dầu thành viên (i),Các công ty con không thuộc khối xăng dầu thành viên (ii),Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,197.508.091.810.365,150.299.972.200.618,7.774.047.625.194,4.667.457.358.158,9.892.276.549.065,2.820.009.792.849,(63.087.340.166.310),309.874.515.169.939,197508091810365.0,150299972200618.0,7774047625194.0,4667457358158.0,9892276549065.0,2820009792849.0,-63087340166310.0,309874515169939.0
Trong đó: Doanh thu nội bộ,Trong đó: Doanh thu nội bộ,Trong đó: Doanh thu nội bộ,7.846.807.099.797,47.341.053.316.193,1.524.729.866.311,1.129.308.768.059,4.807.615.879.939,437.825.236.011,(63.087.340.166.310),-,7846807099797.0,47341053316193.0,1524729866311.0,1129308768059.0,4807615879939.0,437825236011.0,-63087340166310.0,
Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,189.661.284.710.568,102.958.918.884.425,6.249.317.758.883,3.538.148.590.099,5.084.660.669.126,2.382.184.556.838,-,309.874.515.169.939,189661284710568.0,102958918884425.0,6249317758883.0,3538148590099.0,5084660669126.0,2382184556838.0,,309874515169939.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(196.126.023.080.896),(149.787.126.185.144),(7.632.471.268.153),(4.559.006.658.859),(9.541.107.952.745),(2.776.207.152.703),63.000.066.349.542,(307.421.875.948.958),-196126023080896.0,-149787126185144.0,-7632471268153.0,-4559006658859.0,-9541107952745.0,-2776207152703.0,63000066349542.0,-307421875948958.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(182.651.835.572.225),(147.803.952.065.776),(6.752.048.929.380),(3.810.061.697.986),(8.686.163.275.946),(2.423.770.347.529),60.366.057.630.191,(291.761.774.258.651),-182651835572225.0,-147803952065776.0,-6752048929380.0,-3810061697986.0,-8686163275946.0,-2423770347529.0,60366057630191.0,-291761774258651.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(13.474.187.508.671),(1.956.679.851.699),(676.204.889.977),(519.547.904.991),(240.673.418.799),(233.854.117.701),2.634.008.719.351,(14.467.138.972.487),-13474187508671.0,-1956679851699.0,-676204889977.0,-519547904991.0,-240673418799.0,-233854117701.0,2634008719351.0,-14467138972487.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,-,(26.494.267.669),(204.217.448.796),(229.397.055.882),(614.271.258.000),(118.582.687.473),-,(1.192.962.717.820),,-26494267669.0,-204217448796.0,-229397055882.0,-614271258000.0,-118582687473.0,,-1192962717820.0
Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),1.382.068.729.469,512.846.015.474,141.576.357.041,108.450.699.299,351.168.596.320,43.802.640.146,(87.273.816.768),2.452.639.220.981,1382068729469.0,512846015474.0,141576357041.0,108450699299.0,351168596320.0,43802640146.0,-87273816768.0,2452639220981.0
"Phản lãi trong công ty liên doanh, liên kết","Phản lãi trong công ty liên doanh, liên kết","Phản lãi trong công ty liên doanh, liên kết",,,,,,,,576.399.716.450,,,,,,,,576399716450.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,1.821.538.326.716,,,,,,,,1821538326716.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,(1.274.043.644.160),,,,,,,,-1274043644160.0
Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,,,,,,,,66.929.966.107,,,,,,,,66929966107.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,,,,,3.643.463.586.094,,,,,,,,3643463586094.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,(775.649.251.314),,,,,,,,-775649251314.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,,,,,,,,158.930.228.038,,,,,,,,158930228038.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,3.026.744.562.818,,,,,,,,3026744562818.0
