row_label_raw,row_label_full,(c) Đầu tư góp vốn vào đơn vị khác > STT,(c) Đầu tư góp vốn vào đơn vị khác > Tên công ty,(c) Đầu tư góp vốn vào đơn vị khác > 31/12/2025 > Giá gốc VND,(c) Đầu tư góp vốn vào đơn vị khác > 31/12/2025 > Dự phòng VND,(c) Đầu tư góp vốn vào đơn vị khác > 31/12/2025 > Giá trị hợp lý VND,(c) Đầu tư góp vốn vào đơn vị khác > 1/1/2025 > Giá gốc VND,(c) Đầu tư góp vốn vào đơn vị khác > 1/1/2025 > Dự phòng VND,(c) Đầu tư góp vốn vào đơn vị khác > 1/1/2025 > Giá trị hợp lý VND,numeric__(c) Đầu tư góp vốn vào đơn vị khác > Tên công ty,numeric__(c) Đầu tư góp vốn vào đơn vị khác > 31/12/2025 > Giá gốc VND,numeric__(c) Đầu tư góp vốn vào đơn vị khác > 31/12/2025 > Dự phòng VND,numeric__(c) Đầu tư góp vốn vào đơn vị khác > 31/12/2025 > Giá trị hợp lý VND,numeric__(c) Đầu tư góp vốn vào đơn vị khác > 1/1/2025 > Giá gốc VND,numeric__(c) Đầu tư góp vốn vào đơn vị khác > 1/1/2025 > Dự phòng VND,numeric__(c) Đầu tư góp vốn vào đơn vị khác > 1/1/2025 > Giá trị hợp lý VND
1,1,1,Công ty Cổ phần Hóa đầu Quân đội,50.000.000.000,-,(*),50.000.000.000,-,(*),,50000000000.0,,,50000000000.0,,
2,2,2,Công ty Cổ phần An Phú,110.724.000.000,(98.818.473.184),(*),110.724.000.000,(98.868.495.513),(*),,110724000000.0,-98818473184.0,,110724000000.0,-98868495513.0,
3,3,3,Các công ty khác,99.687.708.977,(23.664.892.075),(*),103.051.498.977,(22.553.683.168),(*),,99687708977.0,-23664892075.0,,103051498977.0,-22553683168.0,
,,,,260.411.708.977,(122.483.365.259),(*),263.775.498.977,(121.422.178.681),(*),,260411708977.0,-122483365259.0,,263775498977.0,-121422178681.0,
