row_label_raw,row_label_full,STT,Tên đơn vị,Tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 31/12/2025,Tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 1/1/2025,Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 31/12/2025,Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 1/1/2025,numeric__Tên đơn vị,numeric__Tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 31/12/2025,numeric__Tỷ lệ sở hữu và quyền biểu quyết của Tập đoàn > 1/1/2025,numeric__Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 31/12/2025,numeric__Giá trị đầu tư của Tập đoàn Xăng dầu Việt Nam theo giá gốc khoản đầu tư VND > 1/1/2025
1,1,1,Tổng Công ty Vận tải thủy Petrolimex,"100,00%","100,00%",2.196.550.463.185,2.196.550.463.185,,1.0,1.0,2196550463185.0,2196550463185.0
2,2,2,Công ty TNHH Liên doanh Kho Ngoại quan Xăng dầu Vân Phong,"85,00%","85,00%",629.755.076.565,629.755.076.565,,0.85,0.85,629755076565.0,629755076565.0
3,3,3,Tổng Công ty Hóa dầu Petrolimex – CTCP,"79,00%","79,00%",570.562.500.000,570.562.500.000,,0.79,0.79,570562500000.0,570562500000.0
4,4,4,Tổng Công ty Dịch vụ Xăng dầu Petrolimex (ii),-,"100,00%",-,316.568.434.951,,,1.0,,316568434951.0
5,5,5,Tổng Công ty Gas Petrolimex – CTCP,"52,00%","52,00%",306.662.738.200,306.662.738.200,,0.52,0.52,306662738200.0,306662738200.0
6,6,6,Công ty TNHH MTV Petrolimex Singapore,"100,00%","100,00%",287.897.418.502,287.897.418.502,,1.0,1.0,287897418502.0,287897418502.0
7,7,7,Công ty Cổ phần Nhiên liệu bay Petrolimex,"59,00%","59,00%",88.500.000.000,88.500.000.000,,0.59,0.59,88500000000.0,88500000000.0
8,8,8,Công ty TNHH MTV Petrolimex Lào (iii),"100,00%","100,00%",68.162.068.617,68.162.068.617,,1.0,1.0,68162068617.0,68162068617.0
9,9,9,Công ty TNHH MTV - Tổng Công ty Xây lắp và Thương mại Petrolimex,"100,00%","100,00%",402.820.800.000,402.820.800.000,,1.0,1.0,402820800000.0,402820800000.0
10,10,10,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội (i),"51,06%",-,32.384.930.000,-,,0.5106,,32384930000.0,
11,11,11,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn (i),"52,73%",-,53.722.150.000,-,,0.5273,,53722150000.0,
12,12,12,Công ty Cổ phần Thương mại và Vận tải Petrolimex Đà Nẵng (i),"51,00%",-,14.030.713.748,-,,0.51,,14030713748.0,
13,13,13,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh (i),"51,00%",-,32.910.534.976,-,,0.51,,32910534976.0,
14,14,14,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà Tây (i),"51,00%",-,17.935.586.616,-,,0.51,,17935586616.0,
15,15,15,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Thừa Thiên Huế (i),"51,00%",-,9.498.019.611,-,,0.51,,9498019611.0,
Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv),Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv),Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv),Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv),Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv),Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv),Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv),Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv),,,,,
16,Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv) > 16,16,Công ty TNHH MTV Petrolimex Sài Gòn,"100,00%","100,00%",812.200.000.000,812.200.000.000,,1.0,1.0,812200000000.0,812200000000.0
17,Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv) > 17,17,Công ty TNHH MTV Petrolimex Quảng Ninh,"100,00%","100,00%",468.000.000.000,468.000.000.000,,1.0,1.0,468000000000.0,468000000000.0
18,Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv) > 18,18,Công ty TNHH MTV Petrolimex Huế,"100,00%","100,00%",351.456.408.182,351.456.408.182,,1.0,1.0,351456408182.0,351456408182.0
19,Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv) > 19,19,Công ty TNHH MTV Petrolimex Hà Nội,"100,00%","100,00%",340.191.000.000,210.957.000.000,,1.0,1.0,340191000000.0,210957000000.0
20,Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv) > 20,20,Công ty TNHH MTV Petrolimex Gia Lai,"100,00%","100,00%",283.763.553.673,87.600.000.000,,1.0,1.0,283763553673.0,87600000000.0
21,Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv) > 21,21,Công ty TNHH MTV Petrolimex Lâm Đồng,"100,00%","100,00%",269.000.000.000,106.467.000.000,,1.0,1.0,269000000000.0,106467000000.0
22,Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv) > 22,22,Công ty TNHH MTV Petrolimex Khánh Hòa,"100,00%","100,00%",251.174.000.000,251.174.000.000,,1.0,1.0,251174000000.0,251174000000.0
23,Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv) > 23,23,Công ty TNHH MTV Petrolimex Đắk Lắk,"100,00%","100,00%",248.000.000.000,126.511.000.000,,1.0,1.0,248000000000.0,126511000000.0
24,Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv) > 24,24,Công ty TNHH MTV Petrolimex Cần Thơ,"100,00%","100,00%",246.962.000.000,246.962.000.000,,1.0,1.0,246962000000.0,246962000000.0
25,Các công ty con cấp 1 thuộc Khối Xăng dầu trực thuộc (iv) > 25,25,Công ty TNHH MTV Petrolimex Đà Nẵng,"100,00%","100,00%",245.000.000.000,168.015.000.000,,1.0,1.0,245000000000.0,168015000000.0
