row_label_raw,row_label_full,col_0,Võ bình gas VND,Chi phí đất trả trước VND,Chi phí sửa chữa tài sản VND,Công cụ và dụng cụ VND,Chi phí trả trước dài hạn khác VND,Tổng cộng VND,numeric__Võ bình gas VND,numeric__Chi phí đất trả trước VND,numeric__Chi phí sửa chữa tài sản VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,207.164.772.209,1.876.412.835.699,489.083.252.608,175.270.554.586,448.677.082.605,3.196.608.497.707,207164772209.0,1876412835699.0,489083252608.0,175270554586.0,448677082605.0,3196608497707.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,150.424.765.748,398.978.774.324,202.812.009.981,200.219.342.427,130.332.984.002,1.082.767.876.482,150424765748.0,398978774324.0,202812009981.0,200219342427.0,130332984002.0,1082767876482.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,48.829.562.965,185.678.954.385,8.189.316.050,23.636.053.417,266.333.886.817,,48829562965.0,185678954385.0,8189316050.0,23636053417.0,266333886817.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(52.672.506.403),(284.513.741.109),(350.650.649.502),(215.567.604.074),(265.316.115.034),(1.168.720.616.122),-52672506403.0,-284513741109.0,-350650649502.0,-215567604074.0,-265316115034.0,-1168720616122.0
Xóa số,Xóa số,Xóa số,(12.854.999),-,-,(47.026.498),(19.667.699),(79.549.196),-12854999.0,,,-47026498.0,-19667699.0,-79549196.0
Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,-,1.070.309.663,-,-,-,1.070.309.663,,1070309663.0,,,,1070309663.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,304.904.176.555,2.040.777.741.542,526.923.567.472,168.064.582.491,337.310.337.291,3.377.980.405.351,304904176555.0,2040777741542.0,526923567472.0,168064582491.0,337310337291.0,3377980405351.0
