row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Hoạt động chính,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,31/12/2025Giá trị đầu tư theo phương pháp vốn chủ VND,Dự phòng VND,Giá trị hợp lý VND,Tỷ lệ biểu quyết_1,Tỷ lệ sở hữu_1,1/1/2025Giá trị đầu tư theo phương pháp vốn chủ VND,Dự phòng VND_1,Giá trị hợp lý VND_1,numeric__Tên công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ sở hữu,numeric__31/12/2025Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__Dự phòng VND,numeric__Giá trị hợp lý VND,numeric__Tỷ lệ biểu quyết_1,numeric__Tỷ lệ sở hữu_1,numeric__1/1/2025Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__Dự phòng VND_1,numeric__Giá trị hợp lý VND_1
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,,
1,Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP. Hồ Chí Minh,Chế biến các sản phẩm dầu nhôn,"35,00%","35,00%",438.395.637.829,-,(*),"35,00%","35,00%",453.231.048.953,-,(*),,,,0.35,0.35,438395637829.0,,,0.35,0.35,453231048953.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Tổng Công ty Cổ phần Bảo hiểm Petrolimex (i) (**),Hà Nội,Kinh doanh bảo hiểm,"40,95%","40,95%",799.836.563.148,-,908.204.560.000,"40,95%","40,95%",781.072.554.216,-,1.035.353.198.400,,,,0.40950000000000003,0.40950000000000003,799836563148.0,,908204560000.0,0.40950000000000003,0.40950000000000003,781072554216.0,,1035353198400.0
2,Công ty liên kết > 2,2,Công ty Cổ phần Thương mại Kiên Giang,An Giang,"Nông sản, xăng dầu Đầu tư, xây dựng, khai thác, quản lý và bảo trì hệ thống","38,94%","38,94%",165.731.665.554,-,(*),"38,94%","38,94%",159.647.370.102,-,(*),,,,0.38939999999999997,0.38939999999999997,165731665554.0,,,0.38939999999999997,0.38939999999999997,159647370102.0,,
3,Công ty liên kết > 3,3,Công ty Cổ phần Dịch vụ Đường cao tốc Việt Nam,Hà Nội,"đầu tư, xây dựng, khai thác, quản lý và bảo trì hệ thống","22,38%","22,38%",20.667.757.016,-,(*),"22,38%","22,38%",20.049.644.785,-,(*),,,,0.2238,0.2238,20667757016.0,,,0.2238,0.2238,20049644785.0,,
4,Công ty liên kết > 4,4,Công ty Cổ phần Cơ khí Xăng dầu Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolimex,Minh,"đường cao tốc quốc gia Kinh doanh các loại vất tư, thiết bị xăng dầu","46,00%","46,00%",77.242.619.311,-,(*),"46,00%","46,00%",72.576.937.668,-,(*),,,,0.46,0.46,77242619311.0,,,0.46,0.46,72576937668.0,,
6,Công ty liên kết > 6,6,Công ty Cổ phần Xây lắp III - Petrolimex Công ty Cổ phần Thương mại Dịch vụ,Hà Nội,Xây lắp,"30,00%","30,00%",71.439.224.610,-,(*),"30,00%","30,00%",69.767.760.031,-,(*),,,,0.3,0.3,71439224610.0,,,0.3,0.3,69767760031.0,,
7,Công ty liên kết > 7,7,Sửa chữa Ô tô Việt Nam,Minh,Xây lắp,"30,00%","30,00%",21.562.243.588,-,(*),"30,00%","30,00%",21.036.981.200,-,(*),,,,0.3,0.3,21562243588.0,,,0.3,0.3,21036981200.0,,
,,,,Hà Nội,Mua bán hàng hóa,-,-,-,-,,"20,42%","20,42%",1.800.000.000,(677.914.822),(*),,,,,,,,,0.20420000000000002,0.20420000000000002,1800000000.0,-677914822.0,
,,,,,,,,1.594.875.711.056,-,,,,1.579.182.296.955,(677.914.822),,,,,,,1594875711056.0,,,,,1579182296955.0,-677914822.0,
