row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Đơn vị tính: VND,numeric__Quyền sử dụng đất,numeric__Nhà cửa và vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND
,,,Quyền sử dụng đất,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Tổng cộng,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,5.090.680.817.489,10.354.955.443.947,2.624.346.478.004,18.069.982.739.440,5090680817489.0,10354955443947.0,2624346478004.0,18069982739440.0
- Xây dựng cơ bản hoàn thành,Nguyên giá: > - Xây dựng cơ bản hoàn thành,- Xây dựng cơ bản hoàn thành,3.218.125.836,623.026.232.673,204.500.997.943,830.745.356.452,3218125836.0,623026232673.0,204500997943.0,830745356452.0
"- Cải tạo, nâng cấp trong năm","Nguyên giá: > - Cải tạo, nâng cấp trong năm","- Cải tạo, nâng cấp trong năm",-,101.655.386.618,7.111.602.706,108.766.989.324,,101655386618.0,7111602706.0,108766989324.0
- Tăng do mua,Nguyên giá: > - Tăng do mua,- Tăng do mua,377.878.799.710,2.080.738.712.585,742.950.394.215,3.201.567.906.510,377878799710.0,2080738712585.0,742950394215.0,3201567906510.0
- Phân loại từ tài sản cố định hữu hình (Thuyết minh số 12),Nguyên giá: > - Phân loại từ tài sản cố định hữu hình (Thuyết minh số 12),- Phân loại từ tài sản cố định hữu hình (Thuyết minh số 12),1.932.757.302,209.626.615.418,11.074.831.707,222.634.204.427,1932757302.0,209626615418.0,11074831707.0,222634204427.0
- Tăng khác,Nguyên giá: > - Tăng khác,- Tăng khác,-,502.903.074.920,84.220.337.723,587.123.412.643,,502903074920.0,84220337723.0,587123412643.0
- Phân loại sang hàng tồn kho,Nguyên giá: > - Phân loại sang hàng tồn kho,- Phân loại sang hàng tồn kho,(3.500.630.982),(68.236.827.934),(8.324.727.993),(80.062.186.909),-3500630982.0,-68236827934.0,-8324727993.0,-80062186909.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(61.899.456.799),(22.258.321.300),(84.157.778.099),,-61899456799.0,-22258321300.0,-84157778099.0
- Giảm do quyết toán hợp đồng,Nguyên giá: > - Giảm do quyết toán hợp đồng,- Giảm do quyết toán hợp đồng,-,(84.379.402.916),(50.612.565.495),(134.991.968.411),,-84379402916.0,-50612565495.0,-134991968411.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,5.470.209.869.355,13.658.389.778.512,3.593.009.027.510,22.721.608.675.377,5470209869355.0,13658389778512.0,3593009027510.0,22721608675377.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,-,12.602.659.986,12.602.659.986,,,12602659986.0,12602659986.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,287.244.847.663,579.071.077.495,624.971.042.618,1.491.286.967.776,287244847663.0,579071077495.0,624971042618.0,1491286967776.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,120.352.662.930,420.980.218.066,287.521.332.265,828.854.213.261,120352662930.0,420980218066.0,287521332265.0,828854213261.0
- Phân loại từ tài sản cố định hữu hình (Thuyết minh số 12),Giá trị hao mòn lũy kế: > - Phân loại từ tài sản cố định hữu hình (Thuyết minh số 12),- Phân loại từ tài sản cố định hữu hình (Thuyết minh số 12),-,9.977.114.588,4.583.017.507,14.560.132.095,,9977114588.0,4583017507.0,14560132095.0
- Phân loại sang hàng tồn kho,Giá trị hao mòn lũy kế: > - Phân loại sang hàng tồn kho,- Phân loại sang hàng tồn kho,-,(3.975.005.056),(3.168.679.984),(7.143.685.040),,-3975005056.0,-3168679984.0,-7143685040.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(2.458.460.876),(4.695.895.444),(7.154.356.320),,-2458460876.0,-4695895444.0,-7154356320.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,407.597.510.593,1.003.594.944.217,909.210.816.962,2.320.403.271.772,407597510593.0,1003594944217.0,909210816962.0,2320403271772.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,4.803.435.969.826,9.775.884.366.452,1.999.375.435.386,16.578.695.771.664,4803435969826.0,9775884366452.0,1999375435386.0,16578695771664.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,5.062.612.358.762,12.654.794.834.295,2.683.798.210.548,20.401.205.403.605,5062612358762.0,12654794834295.0,2683798210548.0,20401205403605.0
