row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 7),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 7),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 7),Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 7),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 7),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 7),numeric__Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 7)
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,"Lãi cho vay, lãi đặt cọc phải thu",112.963.234.823,236.829.752.116,,,112963234823.0,236829752116.0
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,Phải thu khác,15.725.335.950,8.133.524.984,,,15725335950.0,8133524984.0
Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty trong cùng Tập đoàn,Lãi tiền tạm ứng phải thu,-,106.652.089.261,,,,106652089261.0
Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty trong cùng Tập đoàn,Phải thu chi hộ,38.806.584.897,-,,,38806584897.0,
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Phải thu từ chuyển nhượng khoản đầu tư,-,30.949.855.695,,,,30949855695.0
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Phải thu khác,14.171.995.011,-,,,14171995011.0,
Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,,Phải thu khác,63.537.611.118,7.795.396.858,,,63537611118.0,7795396858.0
,,,,,245.204.761.799,390.360.618.914,,,245204761799.0,390360618914.0
Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),,,,
Credit Suisse Warburg Pincus,Chi phí trả trước ngắn hạn (Thuyết minh số 10) > Credit Suisse Warburg Pincus,Credit Suisse Warburg Pincus,Cổ đông Cổ đông,Lãi vay trả trước,-,5.591.859.743,,,,5591859743.0
Credit Suisse Warburg Pincus,Chi phí trả trước ngắn hạn (Thuyết minh số 10) > Credit Suisse Warburg Pincus,Credit Suisse Warburg Pincus,Cổ đông Cổ đông,Lãi vay trả trước,-,16.775.579.228,,,,16775579228.0
,,,,,-,22.367.438.971,,,,22367438971.0
Chi phí trả trước dài hạn (Thuyết minh số 10),Chi phí trả trước dài hạn (Thuyết minh số 10),Chi phí trả trước dài hạn (Thuyết minh số 10),Chi phí trả trước dài hạn (Thuyết minh số 10),Chi phí trả trước dài hạn (Thuyết minh số 10),Chi phí trả trước dài hạn (Thuyết minh số 10),Chi phí trả trước dài hạn (Thuyết minh số 10),,,,
Công ty Sinh Thái,Chi phí trả trước dài hạn (Thuyết minh số 10) > Công ty Sinh Thái,Công ty Sinh Thái,Công ty trong cùng Tập đoàn,Chi phí thuê mặt bằng trả trước,278.158.564.110,1.117.445.762.026,,,278158564110.0,1117445762026.0
,,,,,278.158.564.110,1.117.445.762.026,,,278158564110.0,1117445762026.0
,,,,,278.158.564.110,1.117.445.762.026,,,278158564110.0,1117445762026.0
Tài sản ngắn hạn (Thuyết minh số 11),Tài sản ngắn hạn (Thuyết minh số 11),Tài sản ngắn hạn (Thuyết minh số 11),Tài sản ngắn hạn (Thuyết minh số 11),Tài sản ngắn hạn (Thuyết minh số 11),Tài sản ngắn hạn (Thuyết minh số 11),Tài sản ngắn hạn (Thuyết minh số 11),,,,
Tập đoàn Vingroup – Công ty CP,Tài sản ngắn hạn (Thuyết minh số 11) > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,Đặt cọc hợp tác đầu tư,3.553.183.535.897,950.481.728.811,,,3553183535897.0,950481728811.0
Công ty Tân Liên Phát,Tài sản ngắn hạn (Thuyết minh số 11) > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty trong cùng Tập đoàn,Đặt cọc hợp tác đầu tư,1.571.000.000.000,-,,,1571000000000.0,
Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Tài sản ngắn hạn (Thuyết minh số 11) > Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Công ty trong cùng Tập đoàn,Đặt cọc hợp tác đầu tư,188.000.000.000,-,,,188000000000.0,
Công ty Vinpearl,Tài sản ngắn hạn (Thuyết minh số 11) > Công ty Vinpearl,Công ty Vinpearl,Công ty trong cùng Tập đoàn,Đặt cọc hợp tác đầu tư,86.000.000.000,-,,,86000000000.0,
,,,,,5.398.183.535.897,950.481.728.811,,,5398183535897.0,950481728811.0
