row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Tiền thu từ các hợp đồng đặt cọc và vay vốn,Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc và vay vốn,Tiền thu từ các hợp đồng đặt cọc và vay vốn,738.863.578.820,407.427.912.627,738863578820.0,407427912627.0
"Chi phí tư vấn, môi giới và bảo lãnh liên quan đến việc chào bán cố phần","Ngắn hạn > Chi phí tư vấn, môi giới và bảo lãnh liên quan đến việc chào bán cố phần","Chi phí tư vấn, môi giới và bảo lãnh liên quan đến việc chào bán cố phần",261.545.549.247,-,261545549247.0,
Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,Ngắn hạn > Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,166.190.863.426,166.011.036.845,166190863426.0,166011036845.0
Kinh phí bảo trì các căn hộ đã bàn giao,Ngắn hạn > Kinh phí bảo trì các căn hộ đã bàn giao,Kinh phí bảo trì các căn hộ đã bàn giao,65.596.496.228,56.234.288.876,65596496228.0,56234288876.0
Phải trả lại tiền đặt cọc của khách hàng,Ngắn hạn > Phải trả lại tiền đặt cọc của khách hàng,Phải trả lại tiền đặt cọc của khách hàng,-,67.508.671.879,,67508671879.0
Phải trả khác,Ngắn hạn > Phải trả khác,Phải trả khác,67.422.113.273,51.941.294.185,67422113273.0,51941294185.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.299.618.600.994,749.123.204.412,1299618600994.0,749123204412.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn cho các bên khác,Trong đó: > Phải trả ngắn hạn cho các bên khác,Phải trả ngắn hạn cho các bên khác,1.287.645.886.802,726.517.018.966,1287645886802.0,726517018966.0
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 34),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 34),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 34),11.972.714.192,22.606.185.446,11972714192.0,22606185446.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Đặt cọc thuê văn phòng và quầy hàng,Dài hạn > Đặt cọc thuê văn phòng và quầy hàng,Đặt cọc thuê văn phòng và quầy hàng,790.120.972.742,717.335.647.269,790120972742.0,717335647269.0
Trừ: Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,Dài hạn > Trừ: Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,Trừ: Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,(166.190.863.426),(166.011.036.845),-166190863426.0,-166011036845.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,623.930.109.316,551.324.610.424,623930109316.0,551324610424.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác cho các bên khác,Trong đó: > Phải trả dài hạn khác cho các bên khác,Phải trả dài hạn khác cho các bên khác,577.349.072.741,506.965.932.446,577349072741.0,506965932446.0
Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 34),Trong đó: > Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 34),Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 34),46.581.036.575,44.358.677.978,46581036575.0,44358677978.0
