row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
,,,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,,
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong kỳ,Tài sản thuế TNDN hoãn lại > Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong kỳ,Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong kỳ,2.850.013.867,2.051.566.120,798.447.747,1.068.711.563,2850013867.0,2051566120.0,798447747.0,1068711563.0
Chênh lệch từ đánh giá lại tài sản thuần của công ty con khi sáp nhập,Tài sản thuế TNDN hoãn lại > Chênh lệch từ đánh giá lại tài sản thuần của công ty con khi sáp nhập,Chênh lệch từ đánh giá lại tài sản thuần của công ty con khi sáp nhập,5.772.153.108,-,5.772.153.108,(1.876.690.438),5772153108.0,,5772153108.0,-1876690438.0
Chênh lệch dự phòng của hàng tồn kho giữa báo cáo tài chính riêng và báo cáo tài chính hợp nhất,Tài sản thuế TNDN hoãn lại > Chênh lệch dự phòng của hàng tồn kho giữa báo cáo tài chính riêng và báo cáo tài chính hợp nhất,Chênh lệch dự phòng của hàng tồn kho giữa báo cáo tài chính riêng và báo cáo tài chính hợp nhất,5.258.068.743,-,5.258.068.743,-,5258068743.0,,5258068743.0,
Tổng cộng,Tài sản thuế TNDN hoãn lại > Tổng cộng,Tổng cộng,13.880.235.718,2.051.566.120,,,13880235718.0,2051566120.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi muaCông ty TNHH Trung tâm văn hóa Thẻ thao Giải trí Hà Nội,Thuế TNDN hoãn lại phải trả > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi muaCông ty TNHH Trung tâm văn hóa Thẻ thao Giải trí Hà Nội,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi muaCông ty TNHH Trung tâm văn hóa Thẻ thao Giải trí Hà Nội,(40.769.240.138),(41.649.016.587),879.776.449,63.860.783.413,-40769240138.0,-41649016587.0,879776449.0,63860783413.0
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty An PhongChênh lệch từ việc đánh giá lại tài sản thuần của công ty con khisáp nhập,Thuế TNDN hoãn lại phải trả > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty An PhongChênh lệch từ việc đánh giá lại tài sản thuần của công ty con khisáp nhập,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty An PhongChênh lệch từ việc đánh giá lại tài sản thuần của công ty con khisáp nhập,-,(231.135.395.575),231.135.395.575,13.140.558.041,,-231135395575.0,231135395575.0,13140558041.0
Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần,Thuế TNDN hoãn lại phải trả > Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần,Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần,(10.577.644.939),(10.635.532.701),57.887.762,1.128.303.649,-10577644939.0,-10635532701.0,57887762.0,1128303649.0
Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần,Thuế TNDN hoãn lại phải trả > Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần,Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần,(11.228.915.291),-,(11.228.915.291),-,-11228915291.0,,-11228915291.0,
Tổng cộng,Thuế TNDN hoãn lại phải trả > Tổng cộng,Tổng cộng,(62.575.800.368),(283.419.944.863),,,-62575800368.0,-283419944863.0,,
Thu nhập thuế TNDN hoãn lại ghi nhận vào báo cáo kết quả hoạtđộng kinh doanh hợp nhất,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại ghi nhận vào báo cáo kết quả hoạtđộng kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại ghi nhận vào báo cáo kết quả hoạtđộng kinh doanh hợp nhất,,,232.672.814.093,77.321.666.228,,,232672814093.0,77321666228.0
