row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,244.817.164.018,141.996.453.796,3.841.561.057,11.051.627.747,1.186.091.414,402.892.898.032,244817164018.0,141996453796.0,3841561057.0,11051627747.0,1186091414.0,402892898032.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,15.667.579.987,488.725.001,2.863.433.245,410.217.058,19.429.955.291,,15667579987.0,488725001.0,2863433245.0,410217058.0,19429955291.0
- Phân loại sang bất động sản đầu tư (Thuyết minh số 14),Nguyên giá: > - Phân loại sang bất động sản đầu tư (Thuyết minh số 14),- Phân loại sang bất động sản đầu tư (Thuyết minh số 14),(211.559.372.720),(11.074.831.707),-,-,-,(222.634.204.427),-211559372720.0,-11074831707.0,,,,-222634204427.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(12.826.193.939),(349.808.199),(1.018.400.000),-,(14.194.402.138),,-12826193939.0,-349808199.0,-1018400000.0,,-14194402138.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,33.257.791.298,133.763.008.137,3.980.477.859,12.896.660.992,1.596.308.472,185.494.246.758,33257791298.0,133763008137.0,3980477859.0,12896660992.0,1596308472.0,185494246758.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,2.651.697.927,-,415.792.096,-,3.067.490.023,,2651697927.0,,415792096.0,,3067490023.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,14.850.142.098,21.256.972.048,855.290.926,2.041.810.630,764.127.769,39.768.343.471,14850142098.0,21256972048.0,855290926.0,2041810630.0,764127769.0,39768343471.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,2.205.569.089,22.740.336.248,455.712.575,2.167.714.610,629.049.035,28.198.381.557,2205569089.0,22740336248.0,455712575.0,2167714610.0,629049035.0,28198381557.0
- Phân loại sang bất động sản đầu tư (Thuyết minh số 14),Giá trị khấu hao lũy kế: > - Phân loại sang bất động sản đầu tư (Thuyết minh số 14),- Phân loại sang bất động sản đầu tư (Thuyết minh số 14),(9.977.114.588),(4.583.017.507),-,-,-,(14.560.132.095),-9977114588.0,-4583017507.0,,,,-14560132095.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(4.641.059.610),(154.260.164),(60.358.699),-,(4.855.678.473),,-4641059610.0,-154260164.0,-60358699.0,,-4855678473.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,7.078.596.599,34.773.231.179,1.156.743.337,4.149.166.541,1.393.176.804,48.550.914.460,7078596599.0,34773231179.0,1156743337.0,4149166541.0,1393176804.0,48550914460.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,229.967.021.920,120.739.481.748,2.986.270.131,9.009.817.117,421.963.645,363.124.554.561,229967021920.0,120739481748.0,2986270131.0,9009817117.0,421963645.0,363124554561.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,26.179.194.699,98.989.776.958,2.823.734.522,8.747.494.451,203.131.668,136.943.332.298,26179194699.0,98989776958.0,2823734522.0,8747494451.0,203131668.0,136943332298.0
