row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Dự án Vincom Center Trần Duy Hưng,Dự án Vincom Center Trần Duy Hưng,Dự án Vincom Center Trần Duy Hưng,426.501.750.131,423.119.239.394,426501750131.0,423119239394.0
"Dự án Vincom Plaza Suối Hoa, Bắc Ninh","Dự án Vincom Plaza Suối Hoa, Bắc Ninh","Dự án Vincom Plaza Suối Hoa, Bắc Ninh",234.926.380.940,292.944.453.570,234926380940.0,292944453570.0
Dự án Vincom Maximark Biên Hòa,Dự án Vincom Maximark Biên Hòa,Dự án Vincom Maximark Biên Hòa,128.746.631.423,107.726.159.177,128746631423.0,107726159177.0
Dự án Vincom Plaza Long An,Dự án Vincom Plaza Long An,Dự án Vincom Plaza Long An,79.336.902.897,2.248.631.687,79336902897.0,2248631687.0
Dự án Vinpearl Riverfront Condotel Đà Nẵng,Dự án Vinpearl Riverfront Condotel Đà Nẵng,Dự án Vinpearl Riverfront Condotel Đà Nẵng,77.312.696.898,-,77312696898.0,
Dự án Vincom Plaza Bảo Lộc,Dự án Vincom Plaza Bảo Lộc,Dự án Vincom Plaza Bảo Lộc,73.345.846.571,284.118.182,73345846571.0,284118182.0
"Dự án Vincom Plaza Tuy Hòa, Phú Yên","Dự án Vincom Plaza Tuy Hòa, Phú Yên","Dự án Vincom Plaza Tuy Hòa, Phú Yên",-,58.746.857.709,,58746857709.0
Dự án Vincom Plaza Trà Vinh,Dự án Vincom Plaza Trà Vinh,Dự án Vincom Plaza Trà Vinh,-,139.556.964.057,,139556964057.0
Dự án Vincom+ Nam Long,Dự án Vincom+ Nam Long,Dự án Vincom+ Nam Long,-,130.000.000.000,,130000000000.0
Dự án Vincom Plaza Hậu Giang,Dự án Vincom Plaza Hậu Giang,Dự án Vincom Plaza Hậu Giang,-,115.769.011.486,,115769011486.0
Dự án Vincom Plaza Vĩnh Long,Dự án Vincom Plaza Vĩnh Long,Dự án Vincom Plaza Vĩnh Long,-,109.598.826.874,,109598826874.0
Các dự án khác,Các dự án khác,Các dự án khác,59.940.600.813,89.556.063.172,59940600813.0,89556063172.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.080.110.809.673,1.469.550.325.308,1080110809673.0,1469550325308.0
