row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Phải thu tiền cho thuê TTTM và cung cấp dịch vụ liên quan,117.840.481.712,22.888.437.082,,,117840481712.0,22888437082.0
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Phải thu tiền cho thuê TTTM và cung cấp dịch vụ liên quan,670.394.740,839.839.471,,,670394740.0,839839471.0
Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,,,36.080.934.743,54.523.648.203,,,36080934743.0,54523648203.0
,,,,,154.591.811.195,78.251.924.756,,,154591811195.0,78251924756.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),,,,
Công ty Xây dựng Vincom,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty trong cùng Tập đoàn,Trả trước tiền mua dịch vụ,27.948.909.900,25.586.470.362,,,27948909900.0,25586470362.0
Công ty VinService,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty VinService,Công ty VinService,Công ty trong cùng Tập đoàn,Trả trước tiền mua dịch vụ,26.296.412.790,-,,,26296412790.0,
Các công ty khác trong cùng Tập đoàn,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,,,9.890.783.154,251.103.231,,,9890783154.0,251103231.0
,,,,,64.136.105.844,25.837.573.593,,,64136105844.0,25837573593.0
