row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước(Phân loại lại),numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước(Phân loại lại)
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí nhân viên,Chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,50.767.473.774,47.418.181.029,50767473774.0,47418181029.0
"Chi phí tư vấn, hoa hồng và môi giới","Chi phí bán hàng > Chi phí tư vấn, hoa hồng và môi giới","Chi phí tư vấn, hoa hồng và môi giới",55.778.133.836,183.461.115.756,55778133836.0,183461115756.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,122.377.190.786,80.178.853.951,122377190786.0,80178853951.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,27.254.090.829,38.118.947.004,27254090829.0,38118947004.0
,,,256.176.889.225,349.177.097.740,256176889225.0,349177097740.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên,Chi phí quản lý doanh nghiệp > Chi phí nhân viên,Chi phí nhân viên,79.415.910.098,65.432.465.720,79415910098.0,65432465720.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp > Chi phí dự phòng,Chi phí dự phòng,22.012.132.878,29.973.289.259,22012132878.0,29973289259.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,122.266.900.662,158.523.574.636,122266900662.0,158523574636.0
Chi phí bán hàng khác,Chi phí quản lý doanh nghiệp > Chi phí bán hàng khác,Chi phí bán hàng khác,89.843.703.812,73.385.398.377,89843703812.0,73385398377.0
,,,313.538.647.450,327.314.727.992,313538647450.0,327314727992.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,569.715.536.675,676.491.825.732,569715536675.0,676491825732.0
