row_label_raw,row_label_full,Bên liên quan > Công ty Sinh Thái,Số cuối năm VND > 186.531.989.772,"Lãi suất %/năm > Từ 8,58% đến 14,02%",Ngày đáo hạn > Tháng 3 năm 2045,numeric__Số cuối năm VND > 186.531.989.772,"numeric__Lãi suất %/năm > Từ 8,58% đến 14,02%",numeric__Ngày đáo hạn > Tháng 3 năm 2045
Trong đó: nợ phải trả đến hạn trả,Trong đó: nợ phải trả đến hạn trả,Trong đó: nợ phải trả đến hạn trả,(18.078.835.131),,,-18078835131.0,,
TỔNG CỘNG (i),TỔNG CỘNG (i),TỔNG CỘNG (i),168.453.154.641,,,168453154641.0,,
