row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Lãi vay phải thu,Lãi vay đã thu,Đặt cọc cho mục đích đầu tư,Nhận chuyển nhượng tài sản,Chuyển nhượng khoản đầu tư phải thu,Chuyển nhượng khoản đầu tư đã thu,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Mối quan hệ,numeric__Lãi vay phải thu,numeric__Lãi vay đã thu,numeric__Đặt cọc cho mục đích đầu tư,numeric__Nhận chuyển nhượng tài sản,numeric__Chuyển nhượng khoản đầu tư phải thu,numeric__Chuyển nhượng khoản đầu tư đã thu,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Lãi vay phải thu,Lãi vay đã thu,Đặt cọc cho mục đích đầu tư,Nhận chuyển nhượng tài sản,Chuyển nhượng khoản đầu tư phải thu,Chuyển nhượng khoản đầu tư đã thu,Cổ tức phải thu,Cổ tức đã thu,,,,,,,,,
Tập đoàn Vingroup - Công ty CP,Bên liên quan > Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,400.404.430.163,(524.270.947.456),5.635.183.535.897,1.684.909.069.510,,,,,,400404430163.0,-524270947456.0,5635183535897.0,1684909069510.0,,,,
Công ty Vinfast,Bên liên quan > Công ty Vinfast,Công ty Vinfast,Công ty trong cùng Tập đoàn,,,,,3.312.335.000.000,(3.312.335.000.000),,,,,,,,3312335000000.0,-3312335000000.0,,
Công ty Tân Liên Phát,Bên liên quan > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty liên kết (đến trước thời điểm chuyển nhượng),,,,,,,812.500.000.000,(812.500.000.000),,,,,,,,812500000000.0,-812500000000.0
Công ty Sinh Thái,Bên liên quan > Công ty Sinh Thái,Công ty Sinh Thái,Công ty trong cùng Tập đoàn,,,,404.962.349.243,,,,,,,,,404962349243.0,,,,
Công ty Xây dựng Vincom,Bên liên quan > Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty trong cùng Tập đoàn,,(106.652.089.261),,,,,,,,,-106652089261.0,,,,,,
Công ty Vinpearl,Bên liên quan > Công ty Vinpearl,Công ty Vinpearl,Công ty trong cùng Tập đoàn,,,,239.181.691.915,,,,,,,,,239181691915.0,,,,
