row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND Số cuối năm > Giá trị,Đơn vị tính: VND Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị,numeric__Đơn vị tính: VND Số cuối năm > Số có khả năng trả nợ
Vay dài hạn ngân hàng đến hạn trả Trái phiếu doanh nghiệp dài hạn đến hạn trả Nợ dài hạn đến hạn trả khác từ bên liên quan,Vay dài hạn ngân hàng đến hạn trả Trái phiếu doanh nghiệp dài hạn đến hạn trả Nợ dài hạn đến hạn trả khác từ bên liên quan,Vay dài hạn ngân hàng đến hạn trả Trái phiếu doanh nghiệp dài hạn đến hạn trả Nợ dài hạn đến hạn trả khác từ bên liên quan,(i),6.470.632.184,6.470.632.184,-,(6.470.632.184),-,-,,6470632184.0,6470632184.0,,-6470632184.0,,
Vay dài hạn ngân hàng đến hạn trả Trái phiếu doanh nghiệp dài hạn đến hạn trả Nợ dài hạn đến hạn trả khác từ bên liên quan,Vay dài hạn ngân hàng đến hạn trả Trái phiếu doanh nghiệp dài hạn đến hạn trả Nợ dài hạn đến hạn trả khác từ bên liên quan,Vay dài hạn ngân hàng đến hạn trả Trái phiếu doanh nghiệp dài hạn đến hạn trả Nợ dài hạn đến hạn trả khác từ bên liên quan,(i),-,-,2.797.608.333.330,-,2.797.608.333.330,2.797.608.333.330,,,,2797608333330.0,,2797608333330.0,2797608333330.0
Vay dài hạn ngân hàng đến hạn trả Trái phiếu doanh nghiệp dài hạn đến hạn trả Nợ dài hạn đến hạn trả khác từ bên liên quan,Vay dài hạn ngân hàng đến hạn trả Trái phiếu doanh nghiệp dài hạn đến hạn trả Nợ dài hạn đến hạn trả khác từ bên liên quan,Vay dài hạn ngân hàng đến hạn trả Trái phiếu doanh nghiệp dài hạn đến hạn trả Nợ dài hạn đến hạn trả khác từ bên liên quan,34,-,-,18.078.835.131,-,18.078.835.131,18.078.835.131,34.0,,,18078835131.0,,18078835131.0,18078835131.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.470.632.184,6.470.632.184,2.815.687.168.461,(6.470.632.184),2.815.687.168.461,2.815.687.168.461,,6470632184.0,6470632184.0,2815687168461.0,-6470632184.0,2815687168461.0,2815687168461.0
