row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 19),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 19),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 19),Đơn vị tính: VND > Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 19),Đơn vị tính: VND > Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 19),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 19),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 19),numeric__Đơn vị tính: VND > Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 19),numeric__Đơn vị tính: VND > Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 19)
Công ty Xây dựngVincom,Công ty Xây dựngVincom,Công ty Xây dựngVincom,Công ty trongcùng Tậpđoàn,"Mua hàng hóa,dịch vụ phải trả",262.458.623.991,197.111.938.285,,,262458623991.0,197111938285.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty trongcùng Tậpđoàn,Phải trả mua tài sản,239.181.691.915,-,,,239181691915.0,
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty trongcùng Tậpđoàn,Phải trả khác,7.478.580.966,-,,,7478580966.0,
Tập đoàn Vingroup –Công ty CP,Tập đoàn Vingroup –Công ty CP,Tập đoàn Vingroup –Công ty CP,Công ty mẹ,"Mua hàng hóa,dịch vụ phải trả",55.156.641.830,20.871.006.561,,,55156641830.0,20871006561.0
Tập đoàn Vingroup –Công ty CP,Tập đoàn Vingroup –Công ty CP,Tập đoàn Vingroup –Công ty CP,Công ty mẹ,Phải trả mua tài sản,96.891.221.375,-,,,96891221375.0,
Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Phải trả khác,53.246.934.804,46.713.149.004,,,53246934804.0,46713149004.0
,,,,,714.413.694.881,264.696.093.850,,,714413694881.0,264696093850.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),,,,
Công ty Vinpearlland,Người mua trả tiền trước ngắn hạn (Thuyết minh số 20) > Công ty Vinpearlland,Công ty Vinpearlland,Công ty trongcùng Tập đoàn(đã sáp nhậpvảo Công tyVinpearl),Trả trước tiền mua hàng hóa và dịch vụ,-,47.174.102.985,,,,47174102985.0
Các công ty khác trong cùng Tập đoàn,Người mua trả tiền trước ngắn hạn (Thuyết minh số 20) > Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Trả trước khác,-,2.148.164.513,,,,2148164513.0
,,,,,-,49.322.267.498,,,,49322267498.0
