row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017,Đơn vị tính: VNDNgày 31 tháng 12năm 2016,numeric__Ngày 31 tháng 12năm 2017,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2016
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.421.529.231.881,1.697.770.643.584,1421529231881.0,1697770643584.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,60.181.546.761,-,60181546761.0,
Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,136.694.692.439,-,136694692439.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,2.613.600.000.000,-,2613600000000.0,
"Lãi phải thu từ các khoản tiền gửi ngân hàng,đặt cọc và cho vay","Lãi phải thu từ các khoản tiền gửi ngân hàng,đặt cọc và cho vay","Lãi phải thu từ các khoản tiền gửi ngân hàng,đặt cọc và cho vay",178.089.460.071,639.420.892.966,178089460071.0,639420892966.0
Chi hộ phải thu,Chi hộ phải thu,Chi hộ phải thu,324.247.798.709,-,324247798709.0,
Phải thu đặt cọc mua cổ phần,Phải thu đặt cọc mua cổ phần,Phải thu đặt cọc mua cổ phần,-,79.677.103.485,,79677103485.0
Chi phí lãi vay trả trước cho các bên liên quan,Chi phí lãi vay trả trước cho các bên liên quan,Chi phí lãi vay trả trước cho các bên liên quan,-,22.367.438.971,,22367438971.0
Thuế thu nhập doanh nghiệp tạm tính,Thuế thu nhập doanh nghiệp tạm tính,Thuế thu nhập doanh nghiệp tạm tính,22.467.699.299,14.733.341.776,22467699299.0,14733341776.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,125.297.469.785,53.325.440.560,125297469785.0,53325440560.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,2.160.024.734,7.316.363.452,2160024734.0,7316363452.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,1.830.000.000.000,-,1830000000000.0,
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,2.613.600.000.000,,2613600000000.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,13.880.235.718,2.051.566.120,13880235718.0,2051566120.0
Tổng cộng,Tổng cộng,Tổng cộng,6.728.148.159.397,5.130.262.790.914,6728148159397.0,5130262790914.0
