row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Phần mềm máy tính,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,42.542.425.931,42542425931.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,3.934.620.158,3934620158.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,46.477.046.089,46477046089.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,6.427.471.433,6427471433.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,6.410.253.219,6410253219.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,12.837.724.652,12837724652.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,36.114.954.498,36114954498.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,33.639.321.437,33639321437.0
