row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 22),Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 22),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 22),Đơn vị tính: VND > Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 22),Đơn vị tính: VND > Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 22),numeric__Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 22),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 22),numeric__Đơn vị tính: VND > Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 22),numeric__Đơn vị tính: VND > Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 22)
Tập đoàn Vingroup,Tập đoàn Vingroup,Tập đoàn Vingroup,Công ty mẹ,Lãi vay phải trả,-,38.631.194.757,,,,38631194757.0
– Công ty CP,– Công ty CP,– Công ty CP,,Chi phí phải trả khác,-,5.296.204,,,,5296204.0
Các công ty trong cùng Tập đoàn,Các công ty trong cùng Tập đoàn,Các công ty trong cùng Tập đoàn,Các công ty trong cùng Tập đoàn,Phải trả khác,1.414.276.000,7.139.131.561,,,1414276000.0,7139131561.0
,,,,,1.414.276.000,45.775.622.522,,,1414276000.0,45775622522.0
Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),,,,
Công ty Vincommerce,Phải trả ngắn hạn khác (Thuyết minh số 23) > Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,6.157.998.129,1.941.488.175,,,6157998129.0,1941488175.0
Các công ty trong cùng Tập đoàn,Phải trả ngắn hạn khác (Thuyết minh số 23) > Các công ty trong cùng Tập đoàn,Các công ty trong cùng Tập đoàn,Các công ty trong cùng Tập đoàn,Phải trả khác,5.814.716.063,20.664.697.271,,,5814716063.0,20664697271.0
,,,,,11.972.714.192,22.606.185.446,,,11972714192.0,22606185446.0
Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),,,,
Công ty Vincommerce,Phải trả dài hạn khác (Thuyết minh số 23) > Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,33.049.999.497,19.185.488.583,,,33049999497.0,19185488583.0
Các công ty khác trong cùng Tập đoàn,Phải trả dài hạn khác (Thuyết minh số 23) > Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Đặt cọc khác,13.531.037.078,25.173.189.395,,,13531037078.0,25173189395.0
,,,,,46.581.036.575,44.358.677.978,,,46581036575.0,44358677978.0
Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),,,,
Công ty Vincommerce,Doanh thu chưa thực hiện (Thuyết minh số 24) > Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Doanh thu cung cấp dịch vụ cho thuê và các dịch vụ liên quan,35.000.000.000,47.048.533.346,,,35000000000.0,47048533346.0
Các công ty khác trong cùng Tập đoàn,Doanh thu chưa thực hiện (Thuyết minh số 24) > Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Doanh thu cung cấp dịch vụ cho thuê và các dịch vụ liên quan,10.785.783.370,271.059.624,,,10785783370.0,271059624.0
,,,,,45.785.783.370,47.319.592.970,,,45785783370.0,47319592970.0
