row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước(Phân loại lại),numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước(Phân loại lại)
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,1.464.377.384.007,907.749.365.701,1464377384007.0,907749365701.0
Chi phí hình thành bất động sản trong năm,Chi phí hình thành bất động sản trong năm,Chi phí hình thành bất động sản trong năm,1.302.699.549.080,1.132.767.449.777,1302699549080.0,1132767449777.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,936.046.521.247,736.862.688.827,936046521247.0,736862688827.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,244.287.293.703,545.077.223.253,244287293703.0,545077223253.0
Chi phí khác (không bao gồm chi phí tài chính),Chi phí khác (không bao gồm chi phí tài chính),Chi phí khác (không bao gồm chi phí tài chính),101.732.933.468,297.141.082.208,101732933468.0,297141082208.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.049.143.681.505,3.619.597.809.766,4049143681505.0,3619597809766.0
