row_label_raw,row_label_full,col_0,Lợi thế thương mại từ hợp nhất,Lợi thế thương mại từ hợp nhất_1,Lợi thế thương mại từ hợp nhất_2,Lợi thế thương mại từ hợp nhất_3,numeric__Lợi thế thương mại từ hợp nhất,numeric__Lợi thế thương mại từ hợp nhất_1,numeric__Lợi thế thương mại từ hợp nhất_2,numeric__Lợi thế thương mại từ hợp nhất_3
,,,Công ty TNHH MTV Vincom Center Long Biên (i),Công ty Cổ phần Đầu tư Thương mại Dịch vụ Khánh Gia (i),Công ty An Phong (i),Tổng cộng,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,33.000.000.000,210.288.409.384,482.548.322.718,725.836.732.102,33000000000.0,210288409384.0,482548322718.0,725836732102.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,33.000.000.000,210.288.409.384,482.548.322.718,725.836.732.102,33000000000.0,210288409384.0,482548322718.0,725836732102.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,,,,
Số dư đầu năm,Phân bổ lũy kế: > Số dư đầu năm,Số dư đầu năm,12.069.863.015,33.701.384.795,55.536.311.837,101.307.559.647,12069863015.0,33701384795.0,55536311837.0,101307559647.0
Phân bổ trong năm,Phân bổ lũy kế: > Phân bổ trong năm,Phân bổ trong năm,3.300.000.000,21.028.840.938,48.254.832.272,72.583.673.210,3300000000.0,21028840938.0,48254832272.0,72583673210.0
Số dư cuối năm,Phân bổ lũy kế: > Số dư cuối năm,Số dư cuối năm,15.369.863.015,54.730.225.733,103.791.144.109,173.891.232.857,15369863015.0,54730225733.0,103791144109.0,173891232857.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,20.930.136.985,176.587.024.589,427.012.010.881,624.529.172.455,20930136985.0,176587024589.0,427012010881.0,624529172455.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,17.630.136.985,155.558.183.651,378.757.178.609,551.945.499.245,17630136985.0,155558183651.0,378757178609.0,551945499245.0
