row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Phân loại lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Phân loại lại)
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,5.518.240.029.667,6.385.888.582.258,5518240029667.0,6385888582258.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,4.455.319.413.368,3.805.358.337.029,4455319413368.0,3805358337029.0
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,951.145.825.866,2.556.079.259.305,951145825866.0,2556079259305.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,111.774.790.433,24.450.985.924,111774790433.0,24450985924.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,5.518.240.029.667,6.385.888.582.258,5518240029667.0,6385888582258.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên liên quan,Trong đó: > Doanh thu với các bên liên quan,Doanh thu với các bên liên quan,1.092.181.796.628,496.367.570.393,1092181796628.0,496367570393.0
Doanh thu với các bên khác,Trong đó: > Doanh thu với các bên khác,Doanh thu với các bên khác,4.426.058.233.039,5.889.521.011.865,4426058233039.0,5889521011865.0
