row_label_raw,row_label_full,Cổ tức đã công bố trong năm,Năm nay > Cổ tức đã công bố trong năm,Đơn vị tính: VNDNăm trước > Cổ tức đã công bố trong năm,numeric__Năm nay > Cổ tức đã công bố trong năm,numeric__Đơn vị tính: VNDNăm trước > Cổ tức đã công bố trong năm
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,521.543.913.848,-,521543913848.0,
Cổ tức cho năm 2017: 344 VND/cổphiếu (2016: 0 VND/cổ phiếu),Cổ tức cho năm 2017: 344 VND/cổphiếu (2016: 0 VND/cổ phiếu),Cổ tức cho năm 2017: 344 VND/cổphiếu (2016: 0 VND/cổ phiếu),521.543.913.848,-,521543913848.0,
Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,740.010.147.796,1.079.197.079.133,740010147796.0,1079197079133.0
Cổ tức đã trả trong năm,Cổ tức đã trả trong năm,Cổ tức đã trả trong năm,1.261.554.061.644,803.701.500.000,1261554061644.0,803701500000.0
