row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí bán hàng liên quan đến bắt động sản chưa bàn giao,Ngắn hạn: > Chi phí bán hàng liên quan đến bắt động sản chưa bàn giao,Chi phí bán hàng liên quan đến bắt động sản chưa bàn giao,176.486.676.920,28.211.584.556,176486676920.0,28211584556.0
Trả trước lợi nhuận cam kết theo hợp đồng hợp tác kinh doanh và chương trình quản lý cần hộ,Ngắn hạn: > Trả trước lợi nhuận cam kết theo hợp đồng hợp tác kinh doanh và chương trình quản lý cần hộ,Trả trước lợi nhuận cam kết theo hợp đồng hợp tác kinh doanh và chương trình quản lý cần hộ,96.893.216.963,-,96893216963.0,
Thuế thu nhập doanh nghiệp tạm tính,Ngắn hạn: > Thuế thu nhập doanh nghiệp tạm tính,Thuế thu nhập doanh nghiệp tạm tính,22.467.699.299,14.733.341.776,22467699299.0,14733341776.0
Chi phí đầu tư các dự án,Ngắn hạn: > Chi phí đầu tư các dự án,Chi phí đầu tư các dự án,13.907.685.928,17.649.087.093,13907685928.0,17649087093.0
Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 34),Ngắn hạn: > Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 34),Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 34),-,22.367.438.971,,22367438971.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn: > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,38.026.534.637,51.167.365.244,38026534637.0,51167365244.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,347.781.813.747,134.128.817.640,347781813747.0,134128817640.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí thuê mặt bằng trả trước cho các bên liên quan (Thuyết minh số 34) (i),Dài hạn: > Chi phí thuê mặt bằng trả trước cho các bên liên quan (Thuyết minh số 34) (i),Chi phí thuê mặt bằng trả trước cho các bên liên quan (Thuyết minh số 34) (i),278.158.564.110,1.117.445.762.026,278158564110.0,1117445762026.0
Chi phí sửa chữa lớn,Dài hạn: > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,47.819.223.135,8.257.900.851,47819223135.0,8257900851.0
"Công cụ, dung cụ","Dài hạn: > Công cụ, dung cụ","Công cụ, dung cụ",20.473.525.339,24.331.629.643,20473525339.0,24331629643.0
Tiền thuê đất trả trước,Dài hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,15.804.675.410,18.782.204.774,15804675410.0,18782204774.0
Chi phí hoa hồng môi giới cho thuê mặt bằng trung tâm thương mại,Dài hạn: > Chi phí hoa hồng môi giới cho thuê mặt bằng trung tâm thương mại,Chi phí hoa hồng môi giới cho thuê mặt bằng trung tâm thương mại,14.961.314.538,14.821.843.285,14961314538.0,14821843285.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,17.164.911.181,4.435.313.387,17164911181.0,4435313387.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,394.382.213.713,1.188.074.653.966,394382213713.0,1188074653966.0
