row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,"Mua sắm hàng hóa, dịch vụ và phí quản lý phải trả",Thanh toán/Trà tiền trước mua hàng hóa và dịch vụ,"Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan phải thu","Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan đã thu",Cổ tức phải thu,Cổ tức đã thu,Đơn vị tính: VND Hoàn ứng từ nhà cung cấp,numeric__Môi quan hệ,"numeric__Mua sắm hàng hóa, dịch vụ và phí quản lý phải trả",numeric__Thanh toán/Trà tiền trước mua hàng hóa và dịch vụ,"numeric__Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan phải thu","numeric__Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan đã thu",numeric__Cổ tức phải thu,numeric__Cổ tức đã thu,numeric__Đơn vị tính: VND Hoàn ứng từ nhà cung cấp
Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty trong cùng Tập đoàn,(1.120.505.573.204),1.034.983.429.799,,,,,425.857.065.548,,-1120505573204.0,1034983429799.0,,,,,425857065548.0
Công ty VinDS,Công ty VinDS,Công ty VinDS,Công ty trong cùng Tập đoàn,,,52.941.699.809,(26.960.057.749),,,,,,,52941699809.0,-26960057749.0,,,
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,(138.688.947.710),170.550.143.656,,,,,,,-138688947710.0,170550143656.0,,,,,
Công ty TNHH Đầu tư Kinh doanh Thương mại BFF,Công ty TNHH Đầu tư Kinh doanh Thương mại BFF,Công ty TNHH Đầu tư Kinh doanh Thương mại BFF,Công ty trong cùng Tập đoàn,,,52.859.646.139,(26.999.253.017),,,,,,,52859646139.0,-26999253017.0,,,
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,(129.804.485.799),131.390.499.919,205.662.685.874,(307.966.229.670),,,,,-129804485799.0,131390499919.0,205662685874.0,-307966229670.0,,,
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty liên kết,,,,,260.000.000.000 (260.000.000.000),260.000.000.000 (260.000.000.000),260.000.000.000 (260.000.000.000),,,,,,,,
Công ty Vinpearlland,Công ty Tân Liên Phát > Công ty Vinpearlland,Công ty Vinpearlland,Công ty trong cùng Tập đoàn,,,187.158.927.951,(201.146.426.775),,,,,,,187158927951.0,-201146426775.0,,,
