row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,"Mua sắm hàng hóa, dịch vụ và phí quản lý phải trả",Thanh toán/Trả tiền trước mua hàng hóa và dịch vụ,"Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan phải thu","Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan đã thu",Chỉ hộ phải thu,Chỉ hộ đã thu,Thuê dài hạn,numeric__Mối quan hệ,"numeric__Mua sắm hàng hóa, dịch vụ và phí quản lý phải trả",numeric__Thanh toán/Trả tiền trước mua hàng hóa và dịch vụ,"numeric__Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan phải thu","numeric__Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan đã thu",numeric__Chỉ hộ phải thu,numeric__Chỉ hộ đã thu,numeric__Thuê dài hạn
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,(161.721.432.144),127.435.796.875,61.716.845.181,(55.708.508.271),,,,,-161721432144.0,127435796875.0,61716845181.0,-55708508271.0,,,
Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty trong cùng Tập đoàn,(580.638.691.915),535.941.818.461,,,,,,,-580638691915.0,535941818461.0,,,,,
"Công ty TNHH Kinh doanh Thương mại và Dịch vụ VinDS (""Công ty VinDS"")","Công ty TNHH Kinh doanh Thương mại và Dịch vụ VinDS (""Công ty VinDS"")","Công ty TNHH Kinh doanh Thương mại và Dịch vụ VinDS (""Công ty VinDS"")",Công ty trong cùng Tập đoàn,,,216.035.313.749,(230.289.179.933),,,,,,,216035313749.0,-230289179933.0,,,
"Công ty Cổ phần Dịch vụ Tổng hợp Vincommerce (""Công ty Vincommerce"")","Công ty Cổ phần Dịch vụ Tổng hợp Vincommerce (""Công ty Vincommerce"")","Công ty Cổ phần Dịch vụ Tổng hợp Vincommerce (""Công ty Vincommerce"")",Công ty trong cùng Tập đoàn,(305.787.704.123),284.560.196.627,598.602.027.533,(503.819.427.634),32.302.418.518,(19.994.863.483),,,-305787704123.0,284560196627.0,598602027533.0,-503819427634.0,32302418518.0,-19994863483.0,
Công ty TNHH Dịch vụ bảo vệ Vincom,Công ty TNHH Dịch vụ bảo vệ Vincom,Công ty TNHH Dịch vụ bảo vệ Vincom,Công ty trong cùng Tập đoàn,(127.435.344.972),119.102.346.740,,,,,,,-127435344972.0,119102346740.0,,,,,
"Công ty TNHH Kinh doanh Dịch vụ Tổng hợp Vincom (""Công ty VinService"")","Công ty TNHH Kinh doanh Dịch vụ Tổng hợp Vincom (""Công ty VinService"")","Công ty TNHH Kinh doanh Dịch vụ Tổng hợp Vincom (""Công ty VinService"")",Công ty trong cùng Tập đoàn,(122.589.239.069),136.024.505.284,24.748.808.987,(17.486.819.477),,,,,-122589239069.0,136024505284.0,24748808987.0,-17486819477.0,,,
Công ty Sinh Thái,Công ty Sinh Thái,Công ty Sinh Thái,Công ty trong cùng Tập dcàn,(29.461.302.867),27.813.860.613,,,,(49.835.961.979),587.123.412.643,,-29461302867.0,27813860613.0,,,,-49835961979.0,587123412643.0
Công ty TNHH MTV Vinschool,Công ty TNHH MTV Vinschool,Công ty TNHH MTV Vinschool,Công ty trong cùng Tập dcàn,,,71.496.750.046,(62.700.656.980),,,,,,,71496750046.0,-62700656980.0,,,
"Công ty Cổ phần Phát triển Đô thị Nam Hà Nội (""Công ty Nam Hà Nội"")","Công ty Cổ phần Phát triển Đô thị Nam Hà Nội (""Công ty Nam Hà Nội"")","Công ty Cổ phần Phát triển Đô thị Nam Hà Nội (""Công ty Nam Hà Nội"")",Công ty trong cùng Tập dcàn,,,53.744.263.493,(56.423.429.525),,,,,,,53744263493.0,-56423429525.0,,,
Công ty Vicentra,Công ty Vicentra,Công ty Vicentra,Công ty trong cùng Tập dcàn,,,66.602.499.628,(67.766.287.334),,,,,,,66602499628.0,-67766287334.0,,,
