row_label_raw,row_label_full,Bên liên quan > Vay dài hạn (Thuyết minh số 25.2) > Credit Suisse > Warburg Pincus,Mối quan hệ > Vay dài hạn (Thuyết minh số 25.2) > Cổ đông lớn,Ngày 31 tháng 12 năm > 2016VND > Vay dài hạn (Thuyết minh số 25.2) > 56.975.000.000 > 341.850.000.000,"Ngày 31 tháng 12 năm > Lãi suất%/năm > Vay dài hạn (Thuyết minh số 25.2) > 8,75%",Ngày 31 tháng 12 năm > Ngày đáo hạn > Vay dài hạn (Thuyết minh số 25.2) > Tháng 6 năm 2019 > Tháng 10 năm 2019 > Tháng 1 năm 2019,numeric__Mối quan hệ > Vay dài hạn (Thuyết minh số 25.2) > Cổ đông lớn,numeric__Ngày 31 tháng 12 năm > 2016VND > Vay dài hạn (Thuyết minh số 25.2) > 56.975.000.000 > 341.850.000.000,"numeric__Ngày 31 tháng 12 năm > Lãi suất%/năm > Vay dài hạn (Thuyết minh số 25.2) > 8,75%",numeric__Ngày 31 tháng 12 năm > Ngày đáo hạn > Vay dài hạn (Thuyết minh số 25.2) > Tháng 6 năm 2019 > Tháng 10 năm 2019 > Tháng 1 năm 2019
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,,,,,,,
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,1.063.170.400.000,"9,75%",Tháng 12 năm 2018,,1063170400000.0,0.0975,
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,1.600.000.000.000,13%,Tháng 2 năm 2019,,1600000000000.0,0.13,
,,,,3.118.970.400.000,,,,3118970400000.0,,
