row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,34.785.555.399,46.927.089.940,265.000.000,81.977.645.339,34785555399.0,46927089940.0,265000000.0,81977645339.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,1.939.370.000,-,1.939.370.000,,1939370000.0,,1939370000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,34.785.555.399,48.866.459.940,265.000.000,83.917.015.339,34785555399.0,48866459940.0,265000000.0,83917015339.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(19.429.341.145),(77.489.040),(19.506.830.185),,-19429341145.0,-77489040.0,-19506830185.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(10.624.244.156),(20.695.550),(10.644.939.706),,-10624244156.0,-20695550.0,-10644939706.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(30.053.585.301),(98.184.590),(30.151.769.891),,-30053585301.0,-98184590.0,-30151769891.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,34.785.555.399,27.497.748.795,187.510.960,62.470.815.154,34785555399.0,27497748795.0,187510960.0,62470815154.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,34.785.555.399,18.812.874.639,166.815.410,53.765.245.448,34785555399.0,18812874639.0,166815410.0,53765245448.0
