row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,100.843.197.137,4.685.435.763,82.755.988.315,13.085.649.228,2.630.802.846,204.001.073.289,100843197137.0,4685435763.0,82755988315.0,13085649228.0,2630802846.0,204001073289.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,291.209.132,1.505.123.000,-,-,21.568.097.524,23.364.429.656,291209132.0,1505123000.0,,,21568097524.0,23364429656.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(45.000.000),(124.499.999),(475.170.000),(57.627.275),(621.300.050),(1.323.597.324),-45000000.0,-124499999.0,-475170000.0,-57627275.0,-621300050.0,-1323597324.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,101.089.406.269,6.066.058.764,82.280.818.315,13.028.021.953,23.577.600.320,226.041.905.621,101089406269.0,6066058764.0,82280818315.0,13028021953.0,23577600320.0,226041905621.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,-,3.466.736.183,428.678.455,-,3.895.414.638,,,3466736183.0,428678455.0,,3895414638.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(9.231.913.110),234.801.510,(44.630.589.034),(7.294.328.063),(1.437.538.441),(62.359.567.138),-9231913110.0,234801510.0,-44630589034.0,-7294328063.0,-1437538441.0,-62359567138.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(4.340.651.642),(1.618.507.032),(10.143.042.504),(2.144.527.382),(370.412.115),(18.617.140.675),-4340651642.0,-1618507032.0,-10143042504.0,-2144527382.0,-370412115.0,-18617140675.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,29.250.000,114.747.296,145.190.826,57.627.275,93.317.488,440.132.885,29250000.0,114747296.0,145190826.0,57627275.0,93317488.0,440132885.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(13.543.314.752),(1.268.958.226),(54.628.440.712),(9.381.228.170),(1.714.633.068),(80.536.574.928),-13543314752.0,-1268958226.0,-54628440712.0,-9381228170.0,-1714633068.0,-80536574928.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,91.611.284.027,4.920.237.273,38.125.399.281,5.791.321.165,1.193.264.405,141.641.506.151,91611284027.0,4920237273.0,38125399281.0,5791321165.0,1193264405.0,141641506151.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,87.546.091.517,4.797.100.538,27.652.377.603,3.646.793.783,21.862.967.252,145.505.330.693,87546091517.0,4797100538.0,27652377603.0,3646793783.0,21862967252.0,145505330693.0
