row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết (%),Tỷ lệ biểu quyết (%)_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ biểu quyết (%)_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2022,,,,
Lĩnh vực khác,Lĩnh vực khác,Lĩnh vực khác,Lĩnh vực khác,Lĩnh vực khác,Lĩnh vực khác,Lĩnh vực khác,,,,
"(46)Công ty Cổ phần Công nghệ Bất động sản Việt Nam (""Công Nghệ BĐS"")","Lĩnh vực khác > (46)Công ty Cổ phần Công nghệ Bất động sản Việt Nam (""Công Nghệ BĐS"")","(46)Công ty Cổ phần Công nghệ Bất động sản Việt Nam (""Công Nghệ BĐS"")",Phát triển công nghệ,Đang hoạt động,"50,99","50,99",,,50.99,50.99
"(47)Công ty cổ phần Công nghệ Ihouzz (""Ihouzz"")","Lĩnh vực khác > (47)Công ty cổ phần Công nghệ Ihouzz (""Ihouzz"")","(47)Công ty cổ phần Công nghệ Ihouzz (""Ihouzz"")",Phát triển công nghệ,Đang hoạt động,53,53,,,53.0,53.0
"(48)Công ty Cổ phần Dịch vụ Tài chính Bất động sản Tulip (""Tulip"")","Lĩnh vực khác > (48)Công ty Cổ phần Dịch vụ Tài chính Bất động sản Tulip (""Tulip"")","(48)Công ty Cổ phần Dịch vụ Tài chính Bất động sản Tulip (""Tulip"")",Dịch vụ tài chính,Đang hoạt động,60,60,,,60.0,60.0
"(49)Công ty TNHH Tư vấn S-Media (""S-Media"")","Lĩnh vực khác > (49)Công ty TNHH Tư vấn S-Media (""S-Media"")","(49)Công ty TNHH Tư vấn S-Media (""S-Media"")",Truyền thông quảng cáo,Đang hoạt động,99,99,,,99.0,99.0
"(50)Công ty Cổ phần Tư vấn Đầu tư S-Advices (""S-Advices"")","Lĩnh vực khác > (50)Công ty Cổ phần Tư vấn Đầu tư S-Advices (""S-Advices"")","(50)Công ty Cổ phần Tư vấn Đầu tư S-Advices (""S-Advices"")","Tư vấn quản lý, đầu tư",Đang hoạt động,98,98,,,98.0,98.0
"(51)Công ty TNHH S-O Farm (""S-O Farm"")","Lĩnh vực khác > (51)Công ty TNHH S-O Farm (""S-O Farm"")","(51)Công ty TNHH S-O Farm (""S-O Farm"")",Nông nghiệp,Đang hoạt động,98,98,,,98.0,98.0
"(52)Công ty TNHH Công Nghệ S-Tech (""S-Tech"")","Lĩnh vực khác > (52)Công ty TNHH Công Nghệ S-Tech (""S-Tech"")","(52)Công ty TNHH Công Nghệ S-Tech (""S-Tech"")",Phát triển công nghệ,Đang hoạt động,100,100,,,100.0,100.0
"(53)Công ty TNHH Regal Food (""Regal Food"")","Lĩnh vực khác > (53)Công ty TNHH Regal Food (""Regal Food"")","(53)Công ty TNHH Regal Food (""Regal Food"")",Bán lẻ thực phẩm,Đang hoạt động,100,100,,,100.0,100.0
"(54)Công ty TNHH Nông nghiệp Lifarm (""Lifarm"")","Lĩnh vực khác > (54)Công ty TNHH Nông nghiệp Lifarm (""Lifarm"")","(54)Công ty TNHH Nông nghiệp Lifarm (""Lifarm"")",Nông nghiệp,Đang hoạt động,100,100,,,100.0,100.0
