row_label_raw,row_label_full,Số đầu năm > Khấu hao trong năm,(3.136.878.499) > (1.617.986.856),numeric__(3.136.878.499) > (1.617.986.856)
Thanh lý,Thanh lý,Thanh lý,1.726.689.034,1726689034.0
Số cuối năm,Số cuối năm,Số cuối năm,(3.028.176.321),-3028176321.0
