row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam > Khoản vay 1 > Khoản vay 2,Số cuối năm(VND) > Ngân hàng TMCP Công thương Việt Nam > 782.000.000.000 > 432.000.000,Kỳ hạn trả gốc > Ngân hàng TMCP Công thương Việt Nam > Từ ngày 21 tháng 1 năm 2024đến ngày 21 tháng 4 năm 2025 > Ngày 29 tháng 10 năm 2026,Mục đích vay > Ngân hàng TMCP Công thương Việt Nam > Tài trợ các dự án đang triển khai > Mua tài sản,"Hình thức đảm bảo > Ngân hàng TMCP Công thương Việt Nam > Quyền sử dụng đất và tài sản gắn liền với đất của dự án Khu đỏ thị Bảo Ninh 1 tại Xã Bảo Ninh, Thành phố Đồng Hới > Phương tiện vận tải",numeric__Số cuối năm(VND) > Ngân hàng TMCP Công thương Việt Nam > 782.000.000.000 > 432.000.000,numeric__Kỳ hạn trả gốc > Ngân hàng TMCP Công thương Việt Nam > Từ ngày 21 tháng 1 năm 2024đến ngày 21 tháng 4 năm 2025 > Ngày 29 tháng 10 năm 2026,numeric__Mục đích vay > Ngân hàng TMCP Công thương Việt Nam > Tài trợ các dự án đang triển khai > Mua tài sản,"numeric__Hình thức đảm bảo > Ngân hàng TMCP Công thương Việt Nam > Quyền sử dụng đất và tài sản gắn liền với đất của dự án Khu đỏ thị Bảo Ninh 1 tại Xã Bảo Ninh, Thành phố Đồng Hới > Phương tiện vận tải"
,,,782.432.000.000,,,,782432000000.0,,,
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,383.000.000.000,,,,383000000000.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,,,,
Khoản vay 1,Ngân hàng TMCP Việt Nam Thịnh Vượng > Khoản vay 1,Khoản vay 1,122.430.893.934,Từ ngày 3 tháng 1 năm 2024đến ngày 21 tháng 12 năm 2024,Tài trợ các dự án đang triển khai,Các sản phẩm tại dự án Regal Maison,122430893934.0,,,
Khoản vay 2,Ngân hàng TMCP Việt Nam Thịnh Vượng > Khoản vay 2,Khoản vay 2,37.916.666.666,Ngày 30 tháng 8 năm 2025,Tài trợ các dự án đang triển khai,Các sản phẩm tại dự án Regal Victoria,37916666666.0,,,
Khoản vay 3,Ngân hàng TMCP Việt Nam Thịnh Vượng > Khoản vay 3,Khoản vay 3,18.400.000.000,Từ ngày 3 tháng 1 năm 2024đến ngày 30 tháng 12 năm 2024,Tài trợ các dự án đang triển khai,Quyền sử dụng đất,18400000000.0,,,
Khoản vay 4,Ngân hàng TMCP Việt Nam Thịnh Vượng > Khoản vay 4,Khoản vay 4,331.499.990,Ngày 30 tháng 8 năm 2025,Mua tài sản,Phương tiện vận tải,331499990.0,,,
,,,179.079.060.590,,,,179079060590.0,,,
Trong đó:Vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh Vượng > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,140.830.893.934,,,,140830893934.0,,,
