row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Vốn khác thuộc chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Vốn khác thuộc chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.531.223.770.000,804.503.548.710,24.503.464.043,6.193.919.585,679.563.765.370,2.238.895.396.778,8.284.883.864.486,4531223770000.0,804503548710.0,24503464043.0,6193919585.0,679563765370.0,2238895396778.0,8284883864486.0
Tăng vốn (*),Năm nay > Tăng vốn (*),Tăng vốn (*),1.209.807.470.000,(800.000.000.000),-,-,(409.807.470.000),-,-,1209807470000.0,-800000000000.0,,,-409807470000.0,,
Góp vốn từ cổ đông không kiểm soát,Năm nay > Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,57.658.000.001,57.658.000.001,,,,,,57658000001.0,57658000001.0
Trả lại vốn góp cho cổ đông không kiểm soát,Năm nay > Trả lại vốn góp cho cổ đông không kiểm soát,Trả lại vốn góp cho cổ đông không kiểm soát,-,-,-,-,-,(3.920.000.000),(3.920.000.000),,,,,,-3920000000.0,-3920000000.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(168.120.092.464),7.858.180.853,(160.261.911.611),,,,,-168120092464.0,7858180853.0,-160261911611.0
Cổ tức trả cho cổ đông không kiểm soát,Năm nay > Cổ tức trả cho cổ đông không kiểm soát,Cổ tức trả cho cổ đông không kiểm soát,-,-,-,-,-,(48.177.834.000),(48.177.834.000),,,,,,-48177834000.0,-48177834000.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(12.118.714.611),(2.799.725.021),(14.918.439.632),,,,,-12118714611.0,-2799725021.0,-14918439632.0
Tăng tỷ lệ sở hữu tại các công ty con,Năm nay > Tăng tỷ lệ sở hữu tại các công ty con,Tăng tỷ lệ sở hữu tại các công ty con,-,-,-,-,481.034.423,(12.084.260.874),(11.603.226.451),,,,,481034423.0,-12084260874.0,-11603226451.0
Giảm do thanh lý công ty con,Năm nay > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,-,-,-,(696.026.628),(696.026.628),,,,,,-696026628.0,-696026628.0
Giảm khác,Năm nay > Giảm khác,Giảm khác,-,-,-,-,(20.160.548),-,(20.160.548),,,,,-20160548.0,,-20160548.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,5.741.031.240.000,4.503.548.710,24.503.464.043,6.193.919.585,89.978.362.170,2.236.733.731.109,8.102.944.265.617,5741031240000.0,4503548710.0,24503464043.0,6193919585.0,89978362170.0,2236733731109.0,8102944265617.0
