row_label_raw,row_label_full,Tên công ty liên kết > Đất xanh Miền Nam (*),Lĩnh vực kinh doanh > Kinh doanh và môi giới BĐS,Số cuối năm > Tỷ lệ lợi ích % > 49,Số cuối năm > Giá trị ghi sổ VND > 37.392.262.891,Số đầu năm > Tỷ lệ lợi ích % > 49,Số đầu năm > Giá trị ghi sổ VND > 144.525.124.468,numeric__Lĩnh vực kinh doanh > Kinh doanh và môi giới BĐS,numeric__Số cuối năm > Tỷ lệ lợi ích % > 49,numeric__Số cuối năm > Giá trị ghi sổ VND > 37.392.262.891,numeric__Số đầu năm > Tỷ lệ lợi ích % > 49,numeric__Số đầu năm > Giá trị ghi sổ VND > 144.525.124.468
Công ty TNHH Đầu tư Lê Gia Newland (**),Công ty TNHH Đầu tư Lê Gia Newland (**),Công ty TNHH Đầu tư Lê Gia Newland (**),Kinh doanh BĐS,40,31.589.491.209,40,31.600.000.000,,40.0,31589491209.0,40.0,31600000000.0
Công ty TNHH REIC,Công ty TNHH REIC,Công ty TNHH REIC,Kinh doanh BĐS,-,-,21,264.400.000,,,,21.0,264400000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,68.981.754.100,,176.389.524.468,,,68981754100.0,,176389524468.0
