row_label_raw,row_label_full,Mãsô,TÀI SẢN,Thuyếtminh,Tại ngày 31 tháng 12 năm > 2018VND,Tại ngày 31 tháng 12 năm > 2017VND(Trình bày lại – Thuyết minh 40),numeric__TÀI SẢN,numeric__Thuyếtminh,numeric__Tại ngày 31 tháng 12 năm > 2018VND,numeric__Tại ngày 31 tháng 12 năm > 2017VND(Trình bày lại – Thuyết minh 40)
100,100,100,TÀI SẢN NGĂN HẠN,,5.405.256.600.641,3.896.141.901.410,,,5405256600641.0,3896141901410.0
110,110,110,Tiền và các khoản tương đương tiền,3,206.721.179.629,175.208.552.187,,3.0,206721179629.0,175208552187.0
111,111,111,Tiền,,206.721.179.629,111.158.552.187,,,206721179629.0,111158552187.0
112,112,112,Các khoản tương đương tiền,,-,64.050.000.000,,,,64050000000.0
120,120,120,Khoản đầu tư tài chính ngắn hạn,,-,160.065.000.000,,,,160065000000.0
123,123,123,Đầu tư năm giữ đến ngày đáo hạn,4,-,160.065.000.000,,4.0,,160065000000.0
130,130,130,Các khoản phải thu ngắn hạn,,155.196.257.825,84.622.464.067,,,155196257825.0,84622464067.0
131,131,131,Phải thu ngắn hạn của khách hàng,5,57.664.060.443,39.946.216.659,,5.0,57664060443.0,39946216659.0
132,132,132,Trả trước cho người bản ngắn hạn,6,57.981.679.202,33.682.107.963,,6.0,57981679202.0,33682107963.0
136,136,136,Phải thu ngắn hạn khác,7(a),39.159.008.338,10.858.761.425,,,39159008338.0,10858761425.0
139,139,139,Tài sản thiếu chờ xử lý,,391.509.842,135.378.020,,,391509842.0,135378020.0
140,140,140,Hàng tôn kho,8,4.968.145.942.990,3.401.959.226.624,,8.0,4968145942990.0,3401959226624.0
141,141,141,Hàng tôn kho,,4.968.145.942.990,3.401.959.226.624,,,4968145942990.0,3401959226624.0
150,150,150,Tài sản ngắn hạn khác,,75.193.220.197,74.286.658.532,,,75193220197.0,74286658532.0
151,151,151,Chi phí trả trước ngắn hạn,9(a),68.191.416.708,69.117.538.788,,,68191416708.0,69117538788.0
152,152,152,Thuế GTGT được khấu trú,,625.511.019,28.174.789,,,625511019.0,28174789.0
153,153,153,Thuế và các khoản khác phải thu Nha nước,,8.376.292.470,5.140.946.955,,,8376292470.0,5140946955.0
200,200,200,TÀI SẢN DÀI HẠN,,1.032.638.955.963,675.158.254.081,,,1032638955963.0,675158254081.0
210,210,210,Khoản phải thu dài hạn,,57.498.444.869,42.787.737.738,,,57498444869.0,42787737738.0
218,218,218,Phải thu dài hạn khác,7(b),57.498.444.869,42.787.737.738,,,57498444869.0,42787737738.0
220,220,220,Tài sản cố định,,719.287.274.744,487.243.774.697,,,719287274744.0,487243774697.0
221,221,221,Tài sản cố định hữu hình,10(a),225.960.569.846,205.748.326.607,,,225960569846.0,205748326607.0
222,222,222,Nguyễn giả,,454.178.423.940,396.615.581.684,,,454178423940.0,396615581684.0
223,223,223,Giá trị khấu hao lũy kế,,(228.217.854.094),(190.887.255.077),,,-228217854094.0,-190887255077.0
227,227,227,Tài sản cố định vô hình,10(b),493.326.704.898,281.495.448.090,,,493326704898.0,281495448090.0
228,228,228,Nguyễn giả,,499.937.407.873,286.740.907.873,,,499937407873.0,286740907873.0
229,229,229,Giá trị khấu hao lũy kế,,(6.610.702.975),(5.245.459.783),,,-6610702975.0,-5245459783.0
240,240,240,Tài sản dở dang dài hạn,,70.822.681.154,9.665.078.966,,,70822681154.0,9665078966.0
242,242,242,Chi phí xây dựng cơ bản dở dang,11,70.822.681.154,9.665.078.966,,11.0,70822681154.0,9665078966.0
250,250,250,Đầu tư tài chính dài hạn,,-,-,,,,
253,250 > 253,253,Đầu tư góp vốn vào đơn vị khác,,395.271.613.400,395.271.613.400,,,395271613400.0,395271613400.0
254,250 > 254,254,Dư phòng đầu tư tài chính dài hạn,,(395.271.613.400),(395.271.613.400),,,-395271613400.0,-395271613400.0
260,250 > 260,260,Tài sản dài hạn khác,,185.030.555.196,135.461.662.680,,,185030555196.0,135461662680.0
261,250 > 261,261,Chi phí trả trước dài hạn,9(b),99.678.730.358,53.988.320.576,,,99678730358.0,53988320576.0
262,250 > 262,262,Tài sản thuê thu nhập hoãn lại,21,85.351.824.838,81.403.342.104,,21.0,85351824838.0,81403342104.0
270,250 > 270,270,TỔNG TÀI SẢN,,6.437.895.556.604,4.571.300.155.491,,,6437895556604.0,4571300155491.0
