row_label_raw,row_label_full,Vay ngân hàng (*)
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam
Ngân hàng TNHH CTBC - Chi nhánh Hồ Chí Minh,Ngân hàng TNHH CTBC - Chi nhánh Hồ Chí Minh,Ngân hàng TNHH CTBC - Chi nhánh Hồ Chí Minh
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam
Ngân hàng TMCP Quản dôi,Ngân hàng TMCP Quản dôi,Ngân hàng TMCP Quản dôi
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam
Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex
Ngân hàng TMCP Đông Nam Ả,Ngân hàng TMCP Đông Nam Ả,Ngân hàng TMCP Đông Nam Ả
Ngân hàng TNHH Shinhan Việt Nam,Ngân hàng TNHH Shinhan Việt Nam,Ngân hàng TNHH Shinhan Việt Nam
Ngân hàng TMCP Ngosai thương Việt Nam,Ngân hàng TMCP Ngosai thương Việt Nam,Ngân hàng TMCP Ngosai thương Việt Nam
Ngân hàng TMCP Phương Đông Việt Nam,Ngân hàng TMCP Phương Đông Việt Nam,Ngân hàng TMCP Phương Đông Việt Nam
Ngân hàng Nông nghiệp và Phát triển Nông thôn(Thuyết minh 18(b)),Ngân hàng Nông nghiệp và Phát triển Nông thôn(Thuyết minh 18(b)),Ngân hàng Nông nghiệp và Phát triển Nông thôn(Thuyết minh 18(b))
Vay cá nhân (**),Vay cá nhân (**),Vay cá nhân (**)
