row_label_raw,row_label_full,col_0,2018VND,2017VND,numeric__2018VND,numeric__2017VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.205.550.273.121,907.379.395.857,1205550273121.0,907379395857.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Lợi nhuận kế toán trước thuế,Trong đó: > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.219.979.640.903,907.379.395.857,1219979640903.0,907379395857.0
Lỗ kế toán trước thuế,Trong đó: > Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,(14.429.367.782),-,-14429367782.0,
Thuế tính ở thuế suất 20%,Trong đó: > Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,243.995.928.181,181.475.879.171,243995928181.0,181475879171.0
Điều chính:,Điều chính:,Điều chính:,Điều chính:,Điều chính:,,
Dự phòng thiếu của năm trước,Điều chính: > Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,,33.945.000,,33945000.0
Chi phí không được khấu trừ,Điều chính: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,1.630.997.793,1.013.123.626,1630997793.0,1013123626.0
Chi phí thuế TNDN (*),Điều chính: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),245.626.925.974,182.522.947.797,245626925974.0,182522947797.0
(Thu nhập)/chi phí thuế TNDN ghi nhân trong báo cáo kết quả hoạt động kinh doanh:,(Thu nhập)/chi phí thuế TNDN ghi nhân trong báo cáo kết quả hoạt động kinh doanh:,(Thu nhập)/chi phí thuế TNDN ghi nhân trong báo cáo kết quả hoạt động kinh doanh:,(Thu nhập)/chi phí thuế TNDN ghi nhân trong báo cáo kết quả hoạt động kinh doanh:,(Thu nhập)/chi phí thuế TNDN ghi nhân trong báo cáo kết quả hoạt động kinh doanh:,,
Thuế TNDN - hiện hành,(Thu nhập)/chi phí thuế TNDN ghi nhân trong báo cáo kết quả hoạt động kinh doanh: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,249.485.406.708,182.038.883.247,249485406708.0,182038883247.0
Thuế TNDN - hoãn lại (Thuyết minh 21),(Thu nhập)/chi phí thuế TNDN ghi nhân trong báo cáo kết quả hoạt động kinh doanh: > Thuế TNDN - hoãn lại (Thuyết minh 21),Thuế TNDN - hoãn lại (Thuyết minh 21),(3.858.482.734),484.064.550,-3858482734.0,484064550.0
,,,245.626.925.974,182.522.947.797,245626925974.0,182522947797.0
