row_label_raw,row_label_full,Mãsố,NGUỒN VỐN,Thuyếtminh,Tại ngày 31 tháng 12 năm > 2018VND,Tại ngày 31 tháng 12 năm > 2017VND(Trình bày lại –Thuyết minh 40),numeric__NGUỒN VỐN,numeric__Thuyếtminh,numeric__Tại ngày 31 tháng 12 năm > 2018VND,numeric__Tại ngày 31 tháng 12 năm > 2017VND(Trình bày lại –Thuyết minh 40)
300,300,300,NỘ PHẢI TRẢ,,2.692.822.128.700,1.542.697.241.029,,,2692822128700.0,1542697241029.0
310,310,310,Nợ ngân hạn,,2.677.317.785.700,1.488.758.034.029,,,2677317785700.0,1488758034029.0
311,311,311,Phải trả người bán ngân hạn,12,342.676.925.196,278.898.463.294,,12.0,342676925196.0,278898463294.0
312,312,312,Người mua trả tiền trước ngân hạn,13,82.798.544.221,37.773.098.354,,13.0,82798544221.0,37773098354.0
313,313,313,Thuế và các khoản phải nộp ngân sáchNhà nước,14,153.579.308.096,117.206.887.802,,14.0,153579308096.0,117206887802.0
314,314,314,Phải trả người lao động,15,228.337.052.181,99.466.563.099,,15.0,228337052181.0,99466563099.0
315,315,315,Chi phí phải trả ngân hạn,16,10.833.940.595,4.629.017.766,,16.0,10833940595.0,4629017766.0
319,319,319,Phải trả ngân hạn khác,17,237.629.582.960,52.071.681.815,,17.0,237629582960.0,52071681815.0
320,320,320,Vay ngân hạn,18(a),1.558.482.498.026,846.278.850.200,,,1558482498026.0,846278850200.0
322,322,322,Quỹ khen thưởng phúc lợi,19,62.979.954.425,52.433.491.799,,19.0,62979954425.0,52433491799.0
330,330,330,Nợ dài hạn,,15.504.343.000,53.939.207.000,,,15504343000.0,53939207000.0
337,337,337,Phải trả dài hạn khác,,628.026.000,628.026.000,,,628026000.0,628026000.0
338,338,338,Vay dài hạn,18(b),7.800.000.000,46.234.864.000,,,7800000000.0,46234864000.0
342,342,342,Dư phòng phải trả dài hạn,20,7.076.317.000,7.076.317.000,,20.0,7076317000.0,7076317000.0
400,400,400,VÔN CHỦ SỞ HỮU,,3.745.073.427.904,3.028.602.914.462,,,3745073427904.0,3028602914462.0
410,410,410,Vốn chủ sở hữu,,3.745.073.427.904,3.028.602.914.462,,,3745073427904.0,3028602914462.0
411,411,411,Vốn góp của chủ sở hữu,"22, 23",1.670.029.820.000,1.081.020.340.000,,,1670029820000.0,1081020340000.0
411a,411a,411a,- Có phiếu phổ thông cỏ quyền biểu quyết,,1.670.029.820.000,1.081.020.340.000,,,1670029820000.0,1081020340000.0
412,412,412,Thăng dư vốn cổ phần,23,925.397.862.458,876.761.282.458,,23.0,925397862458.0,876761282458.0
415,415,415,Cổ phiếu quỹ,23,(7.090.000),(7.090.000),,23.0,-7090000.0,-7090000.0
418,418,418,Quỹ đầu tư phát triển,23,265.087.556.918,220.087.556.918,,23.0,265087556918.0,220087556918.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưaphân phối",23,884.565.278.528,850.740.825.086,,23.0,884565278528.0,850740825086.0
421a,421a,421a,- LNST chưa phân phối lũy kế cua cac năm trước,,98.780.546.381,233.985.702.026,,,98780546381.0,233985702026.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,785.784.732.147,616.755.123.060,,,785784732147.0,616755123060.0
