row_label_raw,row_label_full,Másô,Thuyêtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Thuyêtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Másô,Másô,Másô,Thuyêtminh,2018VND,2017VND,,,
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận kế toàn trước thuế,1.205.550.273.121,907.379.395.857,,1205550273121.0,907379395857.0
,,,Eiều chỉnh cho các khoản:,,,,,
02,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khẩu hao tài sản cố định (""TSCĐ"")",42.101.648.087,39.339.871.537,,42101648087.0,39339871537.0
03,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Các khoản du phòng,,663.814.156,,,663814156.0
04,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lãi chénh lệch ty giả hỏi đoái do danh gia lạicác khoản mục tiên tẻ có gốc ngơi lệ,(109.041.343),(503.950.650),,-109041343.0,-503950650.0
05,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(7.406.944.577),(15.184.214.057),,-7406944577.0,-15184214057.0
06,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay,61.109.042.390,54.981.032.499,,61109042390.0,54981032499.0
08,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đổi vốn lưu động,1.301.184.977.678,986.575.949.342,,1301184977678.0,986575949342.0
09,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,Tăng các khoản phải thu,(86.037.746.014),(41.626.904.137),,-86037746014.0,-41626904137.0
10,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,Tăng hàng tồn kho,(1.566.186.716.366),(563.269.616.044),,-1566186716366.0,-563269616044.0
11,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,Tăng các khoản phải trả,412.203.203.546,16.952.354.627,,412203203546.0,16952354627.0
12,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,Tăng chi phí trả trước,(44.784.289.702),(45.325.798.075),,-44784289702.0,-45325798075.0
