row_label_raw,row_label_full,col_0,Bất động sản,Bất động sản_1,numeric__Bất động sản,numeric__Bất động sản_1
,,,2018VND,2017VND,,
Dưới 1 năm,Dưới 1 năm,Dưới 1 năm,142.843.036.792,84.990.950.626,142843036792.0,84990950626.0
Từ 1 đến 5 năm,Từ 1 đến 5 năm,Từ 1 đến 5 năm,352.788.934.763,260.336.436.396,352788934763.0,260336436396.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,201.655.846.683,87.914.018.984,201655846683.0,87914018984.0
Tổng cộng các khoản thanh toán tối thiểu,Tổng cộng các khoản thanh toán tối thiểu,Tổng cộng các khoản thanh toán tối thiểu,697.267.818.236,433.241.406.006,697267818236.0,433241406006.0
