row_label_raw,row_label_full,col_0,Tại ngày đầu năm VND,Số phải nộp trong năm VND,Số đã thực nộp trong năm VND,Cần trừ/phân loại lại trong năm VND,Khác VND,Tại ngày cuối năm VND,numeric__Tại ngày đầu năm VND,numeric__Số phải nộp trong năm VND,numeric__Số đã thực nộp trong năm VND,numeric__Cần trừ/phân loại lại trong năm VND,numeric__Khác VND,numeric__Tại ngày cuối năm VND
Thuế GTGT,Thuế GTGT,Thuế GTGT,26.613.803.074,311.271.756.372,(246.178.700.720),(68.638.254.965),-,23.068.603.761,26613803074.0,311271756372.0,-246178700720.0,-68638254965.0,,23068603761.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,29.270.396.299,41.127.952.128,(62.862.963.906),66.975.912,20.887.255,7.623.247.688,29270396299.0,41127952128.0,-62862963906.0,66975912.0,20887255.0,7623247688.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,8.364.303.550,33.340.458.516,(31.049.146.655),-,-,10.655.615.411,8364303550.0,33340458516.0,-31049146655.0,,,10655615411.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.108.223.391,10.600.858.894,(8.933.116.959),-,-,2.775.965.326,1108223391.0,10600858894.0,-8933116959.0,,,2775965326.0
Các loại thuế và phí khác,Các loại thuế và phí khác,Các loại thuế và phí khác,175.327.681,13.515.644.654,(10.262.274.876),(359.612.782),-,3.069.084.677,175327681.0,13515644654.0,-10262274876.0,-359612782.0,,3069084677.0
,,,65.532.053.995,409.856.670.564,(359.286.203.116),(68.930.891.835),20.887.255,47.192.516.863,65532053995.0,409856670564.0,-359286203116.0,-68930891835.0,20887255.0,47192516863.0
