row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,21.315.956.991,6.976.012.757,171.739.184,28.463.708.932,21315956991.0,6976012757.0,171739184.0,28463708932.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,243.225.520,1.216.420.584,-,1.459.646.104,243225520.0,1216420584.0,,1459646104.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 12),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 12),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 12),4.059.947.930,5.472.189.472,-,9.532.137.402,4059947930.0,5472189472.0,,9532137402.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(188.936.911),-,(188.936.911),,-188936911.0,,-188936911.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,25.619.130.441,13.475.685.902,171.739.184,39.266.555.527,25619130441.0,13475685902.0,171739184.0,39266555527.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,2.347.719.949,4.787.659.149,146.076.736,7.281.455.834,2347719949.0,4787659149.0,146076736.0,7281455834.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,804.877.953,2.383.001.506,12.885.040,3.200.764.499,804877953.0,2383001506.0,12885040.0,3200764499.0
Xóa số,Khấu hao lũy kế > Xóa số,Xóa số,-,(141.081.618),-,(141.081.618),,-141081618.0,,-141081618.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,3.152.597.902,7.029.579.037,158.961.776,10.341.138.715,3152597902.0,7029579037.0,158961776.0,10341138715.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,18.968.237.042,2.188.353.608,25.662.448,21.182.253.098,18968237042.0,2188353608.0,25662448.0,21182253098.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,22.466.532.539,6.446.106.865,12.777.408,28.925.416.812,22466532539.0,6446106865.0,12777408.0,28925416812.0
