row_label_raw,row_label_full,col_0,Tại ngày đầu năm VND,Tăng VND,Giảm VND,Phân loại lại VND,Đánh giá lại VND,Tại ngày cuối năm VND,numeric__Tại ngày đầu năm VND,numeric__Tăng VND,numeric__Giảm VND,numeric__Phân loại lại VND,numeric__Đánh giá lại VND,numeric__Tại ngày cuối năm VND
Vay bên thứ ba (i),Vay bên thứ ba (i),Vay bên thứ ba (i),-,212.895.000.000,-,-,495.000.000,213.390.000.000,,212895000000.0,,,495000000.0,213390000000.0
Vay ngân hàng (ii),Vay ngân hàng (ii),Vay ngân hàng (ii),5.471.880.766.170,2.918.015.813.433,(80.750.000.000),(452.909.324.608),-,7.856.237.254.995,5471880766170.0,2918015813433.0,-80750000000.0,-452909324608.0,,7856237254995.0
Phát hành trái phiếu (iii),Phát hành trái phiếu (iii),Phát hành trái phiếu (iii),1.225.000.000.000,-,-,(30.000.000.000),-,1.195.000.000.000,1225000000000.0,,,-30000000000.0,,1195000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(15.648.099.997),5.306.066.676,-,-,-,(10.342.033.321),-15648099997.0,5306066676.0,,,,-10342033321.0
Nợ thuê tài chính (iv),Nợ thuê tài chính (iv),Nợ thuê tài chính (iv),13.907.528.855,-,-,(4.095.691.380),-,9.811.837.475,13907528855.0,,,-4095691380.0,,9811837475.0
,,,6.695.140.195.028,3.136.216.880.109,(80.750.000.000),(487.005.015.988),495.000.000,9.264.097.059.149,6695140195028.0,3136216880109.0,-80750000000.0,-487005015988.0,495000000.0,9264097059149.0
