row_label_raw,row_label_full,Bên liên quan (Thuyết minh 33(b)),Tại ngày đầu năm VND > Bên liên quan (Thuyết minh 33(b)),Chỉ cho vay VND > Bên liên quan (Thuyết minh 33(b)),Chuyển từ phải thu ngắn hạn khác trong năm VND > Bên liên quan (Thuyết minh 33(b)),Thu hồi nợ vay VND > Bên liên quan (Thuyết minh 33(b)),Tại ngày cuối năm VND > Bên liên quan (Thuyết minh 33(b)),numeric__Tại ngày đầu năm VND > Bên liên quan (Thuyết minh 33(b)),numeric__Chỉ cho vay VND > Bên liên quan (Thuyết minh 33(b)),numeric__Chuyển từ phải thu ngắn hạn khác trong năm VND > Bên liên quan (Thuyết minh 33(b)),numeric__Thu hồi nợ vay VND > Bên liên quan (Thuyết minh 33(b)),numeric__Tại ngày cuối năm VND > Bên liên quan (Thuyết minh 33(b))
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,178.175.900.000,290.500.000.000,12.151.476.270,(305.100.000.000),175.727.376.270,178175900000.0,290500000000.0,12151476270.0,-305100000000.0,175727376270.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,71.000.000.000,-,23.170.000.000,(17.750.000.000),76.420.000.000,71000000000.0,,23170000000.0,-17750000000.0,76420000000.0
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,4.000.000.000,-,-,-,4.000.000.000,4000000000.0,,,,4000000000.0
,,,253.175.900.000,290.500.000.000,35.321.476.270,(322.850.000.000),256.147.376.270,253175900000.0,290500000000.0,35321476270.0,-322850000000.0,256147376270.0
Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,,,,,
Bên đi vay,Bên đi vay,Bên đi vay,,Số cuối năm VND,Thời hạn cho vay,Lãi suất (%/năm),Hình thức đảm bảo,,,,,
Công ty Cổ phần Thủy điện Trường Phú,Bên đi vay > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,,175.727.376.270,(*),"11,50%",Tín chấp,,175727376270.0,,0.115,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên đi vay > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,,76.420.000.000,Đến tháng 3 năm 2023,"10,00%",Tín chấp,,76420000000.0,,0.1,
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Bên đi vay > Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,,4.000.000.000,Đến tháng 6 năm 2023,"9,00%",Tín chấp,,4000000000.0,,0.09,
,,,,256.147.376.270,,,,,256147376270.0,,,
