row_label_raw,row_label_full,Trả trước cho người bán ngắn hạn (Thuyết minh 6),Số cuối năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh 6),Số đầu năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh 6),numeric__Số cuối năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh 6),numeric__Số đầu năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh 6)
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,47.000.000.000,-,47000000000.0,
Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,-,13.329.360,,13329360.0
Công ty Cổ phần Xuất nhập khẩu Tân Định,Công ty Cổ phần Xuất nhập khẩu Tân Định,Công ty Cổ phần Xuất nhập khẩu Tân Định,-,11.244.523,,11244523.0
,,,47.000.000.000,24.573.883,47000000000.0,24573883.0
Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu về cho vay ngắn hạn (Thuyết minh 7) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,175.727.376.270,178.175.900.000,175727376270.0,178175900000.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu về cho vay ngắn hạn (Thuyết minh 7) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,76.420.000.000,71.000.000.000,76420000000.0,71000000000.0
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Phải thu về cho vay ngắn hạn (Thuyết minh 7) > Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,4.000.000.000,4.000.000.000,4000000000.0,4000000000.0
,,,256.147.376.270,253.175.900.000,256147376270.0,253175900000.0
Phải thu ngắn hạn khác (Thuyết minh 8),Phải thu ngắn hạn khác (Thuyết minh 8),Phải thu ngắn hạn khác (Thuyết minh 8),Phải thu ngắn hạn khác (Thuyết minh 8),Phải thu ngắn hạn khác (Thuyết minh 8),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh 8) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,2.375.721.518,20.335.582.609,2375721518.0,20335582609.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu ngắn hạn khác (Thuyết minh 8) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,2.009.558.910,18.343.424.661,2009558910.0,18343424661.0
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Phải thu ngắn hạn khác (Thuyết minh 8) > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,1.224.904.110,864.904.106,1224904110.0,864904106.0
Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Phải thu ngắn hạn khác (Thuyết minh 8) > Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,119.720.662,-,119720662.0,
Công ty Cổ phần Năng lượng TTC,Phải thu ngắn hạn khác (Thuyết minh 8) > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,1.000.000,-,1000000.0,
Công ty Cổ phần Thương mại Thành Thành Công,Phải thu ngắn hạn khác (Thuyết minh 8) > Công ty Cổ phần Thương mại Thành Thành Công,Công ty Cổ phần Thương mại Thành Thành Công,-,33.000.000,,33000000.0
,,,5.730.905.200,39.576.911.376,5730905200.0,39576911376.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,
Công ty Cổ phần Thành Thành Nam,Phải thu dài hạn khác > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,498.204.382,498.204.382,498204382.0,498204382.0
Phải trả người bán ngắn hạn (Thuyết minh 14),Phải trả người bán ngắn hạn (Thuyết minh 14),Phải trả người bán ngắn hạn (Thuyết minh 14),Phải trả người bán ngắn hạn (Thuyết minh 14),Phải trả người bán ngắn hạn (Thuyết minh 14),,
Công ty Cổ Phần Xây dựng và Kết cấu Thép Đại Tín,Phải trả người bán ngắn hạn (Thuyết minh 14) > Công ty Cổ Phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ Phần Xây dựng và Kết cấu Thép Đại Tín,343.745.150,343.745.150,343745150.0,343745150.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả người bán ngắn hạn (Thuyết minh 14) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,-,12.337.893.700,,12337893700.0
Công ty Cổ phần Du lịch Thành Thành Công,Phải trả người bán ngắn hạn (Thuyết minh 14) > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,-,66.000.000,,66000000.0
,,,343.745.150,12.747.638.850,343745150.0,12747638850.0
