row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, truyền đảnVND",Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, truyền đảnVND",numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,2.986.907.000.515,7.322.925.109.751,1.214.354.669.825,160.821.744.637,337.064.946.605,12.022.073.471.333,2986907000515.0,7322925109751.0,1214354669825.0,160821744637.0,337064946605.0,12022073471333.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,138.750.000,569.469.818,-,1.840.209.768,(1.384.729.999),1.163.699.587,138750000.0,569469818.0,,1840209768.0,-1384729999.0,1163699587.0
Quyết toàn dự án hoànthành (Thuyết minh 12),Nguyên giá > Quyết toàn dự án hoànthành (Thuyết minh 12),Quyết toàn dự án hoànthành (Thuyết minh 12),(1.003.061.068.792),863.507.156.914,374.176.386.798,55.367.073.540,(180.409.691.006),109.579.357.454,-1003061068792.0,863507156914.0,374176386798.0,55367073540.0,-180409691006.0,109579357454.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(1.208.969.248),-,-,1.208.969.248,-,,-1208969248.0,,,1208969248.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(1.232.217.792),(392.993.602),(1.066.254.546),(187.395.737),-,(2.878.361.677),-1232217792.0,-392993602.0,-1066254546.0,-187395737.0,,-2878361677.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,1.982.752.463.931,8.185.399.773.633,1.587.464.802.077,217.841.632.208,156.479.494.848,12.129.938.166.697,1982752463931.0,8185399773633.0,1587464802077.0,217841632208.0,156479494848.0,12129938166697.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,531.636.461.335,830.830.079.540,111.162.106.680,29.220.075.203,72.153.184.181,1.575.001.906.939,531636461335.0,830830079540.0,111162106680.0,29220075203.0,72153184181.0,1575001906939.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,114.804.421.289,435.340.583.987,67.314.980.038,17.656.432.986,10.153.617.339,645.270.035.639,114804421289.0,435340583987.0,67314980038.0,17656432986.0,10153617339.0,645270035639.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,12.107.284,(202.803.499),(1.096.773.643),343.878,1.287.125.980,-,12107284.0,-202803499.0,-1096773643.0,343878.0,1287125980.0,
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(1.232.217.792),(85.419.591),(716.851.266),(187.395.737),-,(2.221.884.386),-1232217792.0,-85419591.0,-716851266.0,-187395737.0,,-2221884386.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,645.220.772.116,1.265.882.440.437,176.663.461.809,46.689.456.330,83.593.927.500,2.218.050.058.192,645220772116.0,1265882440437.0,176663461809.0,46689456330.0,83593927500.0,2218050058192.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,2.455.270.539.180,6.492.095.030.211,1.103.192.563.145,131.601.669.434,264.911.762.424,10.447.071.564.394,2455270539180.0,6492095030211.0,1103192563145.0,131601669434.0,264911762424.0,10447071564394.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.337.531.691.815,6.919.517.333.196,1.410.801.340.268,171.152.175.878,72.885.567.348,9.911.888.108.505,1337531691815.0,6919517333196.0,1410801340268.0,171152175878.0,72885567348.0,9911888108505.0
