row_label_raw,row_label_full,col_0,2020Triệu VND,2019Triệu VND,numeric__2020Triệu VND,numeric__2019Triệu VND
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",3.969,2.902,3969.0,2902.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,3.407.727,3.268.634,3407727.0,3268634.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi lương và phụ cấp,Trong đó: > Chi lương và phụ cấp,Chi lương và phụ cấp,3.133.463,2.945.399,3133463.0,2945399.0
Các khoản chỉ đóng góp theo lương,Trong đó: > Các khoản chỉ đóng góp theo lương,Các khoản chỉ đóng góp theo lương,150.501,202.550,150501.0,202550.0
Chi trợ cấp,Trong đó: > Chi trợ cấp,Chi trợ cấp,40.751,45.752,40751.0,45752.0
Chi khác,Trong đó: > Chi khác,Chi khác,83.012,74.933,83012.0,74933.0
Chi về tài sản,Trong đó: > Chi về tài sản,Chi về tài sản,1.037.891,1.095.512,1037891.0,1095512.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Khấu hao tài sản cố định,Trong đó: > Khấu hao tài sản cố định,Khấu hao tài sản cố định,269.113,263.888,269113.0,263888.0
Chi thuê tài sản,Trong đó: > Chi thuê tài sản,Chi thuê tài sản,577.736,609.232,577736.0,609232.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,676.432,803.865,676432.0,803865.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi công tác phí,Trong đó: > Chi công tác phí,Chi công tác phí,9.928,21.549,9928.0,21549.0
Chi phí dự phòng rủi ro khác,Trong đó: > Chi phí dự phòng rủi ro khác,Chi phí dự phòng rủi ro khác,(64.067),39.705,-64067.0,39705.0
Chi phí dự phòng đầu tư dài hạn (Thuyết minh 15),Trong đó: > Chi phí dự phòng đầu tư dài hạn (Thuyết minh 15),Chi phí dự phòng đầu tư dài hạn (Thuyết minh 15),(74.156),37.229,-74156.0,37229.0
Chi phí dự phòng nợ phải thu khó đòi (Thuyết minh 18),Trong đó: > Chi phí dự phòng nợ phải thu khó đòi (Thuyết minh 18),Chi phí dự phòng nợ phải thu khó đòi (Thuyết minh 18),10.089,2.476,10089.0,2476.0
Chi phí bảo hiểm tiền gửi của khách hàng,Trong đó: > Chi phí bảo hiểm tiền gửi của khách hàng,Chi phí bảo hiểm tiền gửi của khách hàng,205.015,182.383,205015.0,182383.0
Chi phí hoạt động khác,Trong đó: > Chi phí hoạt động khác,Chi phí hoạt động khác,1.084.260,1.261.896,1084260.0,1261896.0
,,,6.351.227,6.654.897,6351227.0,6654897.0
