row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020(Triệu VND),Quá hạn > Trên 3tháng,Quá hạn > Đến 3tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 đến3 tháng,Trong hạn > Từ 3 đến12 tháng,Trong hạn > Từ 1 đến5 năm,Trong hạn > Trên 5 năm,Trong hạn > Tổng cộng,numeric__Quá hạn > Trên 3tháng,numeric__Quá hạn > Đến 3tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 đến3 tháng,numeric__Trong hạn > Từ 3 đến12 tháng,numeric__Trong hạn > Từ 1 đến5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Trong hạn > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,3.282.556,-,-,-,-,3.282.556,,,3282556.0,,,,,3282556.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,5.264.256,-,-,-,-,5.264.256,,,5264256.0,,,,,5264256.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,13.552.212,7.751.081,1.986.821,46.619,-,23.336.733,,,13552212.0,7751081.0,1986821.0,46619.0,,23336733.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,493.214,-,-,-,-,493.214,,,493214.0,,,,,493214.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,2.266.858,366.702,24.192.235,25.259.439,68.621.819,73.219.713,31.104.065,225.030.831,2266858.0,366702.0,24192235.0,25259439.0,68621819.0,73219713.0,31104065.0,225030831.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,265.074,814.128,8.594.000,41.107.258,25.179.444,75.959.904,,,265074.0,814128.0,8594000.0,41107258.0,25179444.0,75959904.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,7.905.637,7.905.637,,,,,,,7905637.0,7905637.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,1.406.733,1.406.733,,,,,,,1406733.0,1406733.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,49.453,-,8.880.984,4.921.853,6.743.538,-,-,20.595.828,49453.0,,8880984.0,4921853.0,6743538.0,,,20595828.0
,,,2.316.311,366.702,55.930.531,38.746.501,85.946.178,114.373.590,65.595.879,363.275.692,2316311.0,366702.0,55930531.0,38746501.0,85946178.0,114373590.0,65595879.0,363275692.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,482,2.181,11.557,-,-,14.220,,,482.0,2181.0,11557.0,,,14220.0
"Tiền gửi và vay các TCTD, TCTC khác","Nợ phải trả > Tiền gửi và vay các TCTD, TCTC khác","Tiền gửi và vay các TCTD, TCTC khác",-,-,8.517.374,15.861.133,14.425.736,5.110.820,7.741,43.922.804,,,8517374.0,15861133.0,14425736.0,5110820.0,7741.0,43922804.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,84.959.725,66.318.979,73.465.411,4.930.365,1.299,229.675.779,,,84959725.0,66318979.0,73465411.0,4930365.0,1299.0,229675779.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,277,85.248,183.808,(67.837),(87.616),113.880,,,277.0,85248.0,183808.0,-67837.0,-87616.0,113880.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,22.741,21.755,120.615,22.045,-,187.156,,,22741.0,21755.0,120615.0,22045.0,,187156.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,42,803.050,3.874.043,26.103.730,986.582,31.767.447,,,42.0,803050.0,3874043.0,26103730.0,986582.0,31767447.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,9.575.126,-,-,-,-,9.575.126,,,9575126.0,,,,,9575126.0
,,,-,-,103.075.767,83.092.346,92.081.170,36.099.123,908.006,315.256.412,,,103075767.0,83092346.0,92081170.0,36099123.0,908006.0,315256412.0
Mức chênh thanh khoản thuần,Nợ phải trả > Mức chênh thanh khoản thuần,Mức chênh thanh khoản thuần,2.316.311,366.702,(47.145.236),(44.345.845),(6.134.992),78.274.467,64.687.873,48.019.280,2316311.0,366702.0,-47145236.0,-44345845.0,-6134992.0,78274467.0,64687873.0,48019280.0
