row_label_raw,row_label_full,Tại 31 tháng 12 năm 2020(Triệu VND),Chưa quá hạn vàchưa bị giảm giá,Đã quá hạn nhưngchưa bị giảm giá,Đã quá hạn và đãtrích lập dự phòng,Tổng cộng,numeric__Chưa quá hạn vàchưa bị giảm giá,numeric__Đã quá hạn nhưngchưa bị giảm giá,numeric__Đã quá hạn và đãtrích lập dự phòng,numeric__Tổng cộng
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,23.336.733,-,-,23.336.733,23336733.0,,,23336733.0
Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,493.214,-,-,493.214,493214.0,,,493214.0
Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,211.804.036,3.798.238,9.428.557,225.030.831,211804036.0,3798238.0,9428557.0,225030831.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,75.959.904,-,-,75.959.904,75959904.0,,,75959904.0
Tài sản Có khác - gộp,Tài sản Có khác - gộp,Tài sản Có khác - gộp,20.546.375,-,49.453,20.595.828,20546375.0,,49453.0,20595828.0
,,,332.140.262,3.798.238,9.478.010,345.416.510,332140262.0,3798238.0,9478010.0,345416510.0
Tại ngày 31 tháng 12 năm 2019(Triệu VND),Tại ngày 31 tháng 12 năm 2019(Triệu VND),Tại ngày 31 tháng 12 năm 2019(Triệu VND),Chưa quá hạn vàchưa bị giảm giá,Đã quá hạn nhưngchưa bị giảm giá,Đã quá hạn và đãtrích lập dự phòng,Tổng cộng,,,,
Tiền gửi và cho vay các TCTD khác,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,18.422.054,-,-,18.422.054,18422054.0,,,18422054.0
Chứng khoán kinh doanh - gộp,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,1.571.141,-,-,1.571.141,1571141.0,,,1571141.0
Cho vay khách hàng và mua nợ - gộp,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,185.786.327,2.640.007,8.267.174,196.693.508,185786327.0,2640007.0,8267174.0,196693508.0
Chứng khoán đầu tư - gộp,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,67.786.907,-,-,67.786.907,67786907.0,,,67786907.0
Tài sản Có khác - gộp,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Tài sản Có khác - gộp,Tài sản Có khác - gộp,20.562.228,-,43.584,20.605.812,20562228.0,,43584.0,20605812.0
,,,294.128.657,2.640.007,8.310.758,305.079.422,294128657.0,2640007.0,8310758.0,305079422.0
